precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_dem_GALLEGO,gen_grn_BARAKA,gen_grn_STEIN,gen_ind_CASTLE,gen_ind_CUBBLER,gen_ind_FOX,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_LEE,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_MORROW,gen_ind_SOLTYSIK,gen_ind_STEFFES,gen_ind_STEIN,gen_ind_VALDIVIA,gen_lib_CORVALAN,gen_lib_JOHNSON,gen_rep_ARRINGTON,gen_rep_HURD,gen_rep_TRUMP,gen_unk_BARRIERE,gen_unk_CASE,gen_unk_CHRISTIE,gen_unk_CRUZ,gen_unk_ERSKINE,gen_unk_KUSHNER,gen_unk_LEAMER,gen_unk_LILLY,gen_unk_RODRIGUEZ,gen_unk_RUBIO,gen_unk_SANDERS,gen_unk_SCHULIN,gen_unk_WALKER
ANDERSON13-14,0,268,0,0,7,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,30,0,0,749,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARANSASTOTAL,1,2465,0,0,41,0,0.0,0.0,0,3,0.0,0.0,18,0.0,0.0,0.0,0.0,0,0.0,0,238,0,0,"7,740",0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER1,1,82,0,0,3,0,0.0,0.0,0,0,0.0,1.0,2,0.0,0.0,0.0,0.0,0,0.0,0,12,0,0,784,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER10,2,79,0,0,1,0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0,8,0,0,453,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER11,0,7,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,76,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER2,0,57,0,0,2,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,16,0,0,585,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER3,0,22,0,0,0,0,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,247,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER4,0,22,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,5,0,0,458,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER5,0,9,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,105,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER6,0,80,0,0,4,0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0,19,0,0,637,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER7,0,8,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,126,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER8,0,17,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,8,0,0,217,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHER9,0,11,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,98,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARCHERTOTAL,3,394,0,0,10,0,0.0,0.0,0,0,0.0,2.0,8,0.0,0.0,0.0,0.0,0,0.0,0,80,0,0,3786,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ARMSTRONGTOTAL VOTES,0,70,0,0,5,0,0.0,1.0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0,0.0,0,18,0,0,924,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
ATASCOSATOTAL,6,4651,0,0,65,0,0.0,0.0,0,0,0.0,0.0,24,0.0,0.0,0.0,0.0,0,0.0,0,308,0,0,8618,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BAILEY1,0,58,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0,12,0,0,189,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BAILEY2,0,44,0,0,0,0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0,0.0,0,6,0,0,210,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BAILEY3,0,57,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,6,0,0,98,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BAILEY4,0,53,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,5,0,0,51,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BAILEYEARLY VOTING,0,185,0,0,2,0,0.0,0.0,0,0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,1.0,0,10,0,0,795,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BAILEYPROVISIONAL,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BANDERATOTAL,1,1726,0,0,66,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,262,0,0,8163,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BASTROPTOTAL,0,10569,0,0,320,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1063,0,0,16328,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BAYLORTOTAL,2,191,0,0,3,0,0.0,0.0,0,0,0.0,0.0,5,0.0,0.0,0.0,0.0,0,0.0,0,31,0,0,1267,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BEETOTALS,0,3444,0,0,34,0,0.0,0.0,0,0,0.0,2.0,20,0.0,1.0,0.0,0.0,0,2.0,0,238,0,0,4744,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BELLTOTAL,0,37801,0,0,812,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3824,0,0,51998,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BEXAR5001,0,171.0,0,0,9.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,11.0,0,0,53.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BEXAR5002,0,164.0,0,0,3.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,7.0,0,0,41.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BEXAR5003,0,79.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,7.0,0,0,23.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BEXAR5004,0,55.0,0,0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,6.0,0,0,31.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BEXAR5005,0,58.0,0,0,2.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,4.0,0,0,11.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
