precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,gen_sol_RIVA,gen_sow_KENNEDY
WAHKIAKUM01 - DEEP RIVER,0,30,2,9,98,0,0
WAHKIAKUM02 - GRAYS RIVER,3,58,4,5,91,0,0
WAHKIAKUM03 - ROSBURG / ALTOONA,5,60,3,3,106,0,0
WAHKIAKUM04 - SKAMOKAWA,2,75,10,12,110,0,0
WAHKIAKUM05 - ELOCHOMAN,1,72,8,25,244,0,0
WAHKIAKUM06 - ROSEDALE,1,55,0,2,111,0,0
WAHKIAKUM07 - COLUMBIA,1,114,3,11,161,0,0
WAHKIAKUM08 - EAST PUGET ISLAND,3,78,7,16,99,0,1
WAHKIAKUM09 - WEST PUGET ISLAND,1,156,4,20,188,0,0
WAHKIAKUM10 - SOUTH CATHLAMET,0,98,4,6,100,1,1
WAHKIAKUM11 - NORTH CATHLAMET,1,36,5,2,36,0,0
