precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_KENISTON,gen_ind_KOTLIKOFF,gen_ind_MALDONADO,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_SCHOENKE,gen_ind_SOLTYSIK,gen_lib_JOHNSON,gen_rep_TRUMP
BROWNCITY OF DE PERE WARDS 1-4,9,1645,30,0,0,2,0,0,0,1,4,2,0,0,136,1698
BROWNCITY OF DE PERE WARDS 16-17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"BROWNCITY OF DE PERE WARDS 9,18",1,285,9,0,0,0,0,0,0,0,5,0,0,0,25,312
"BROWNTOWN OF LEDGEVIEW WARDS 1-3,8-10",6,851,14,0,1,0,0,0,0,0,7,2,0,0,100,1315
BROWNVILLAGE OF HOBART WARD 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BROWNVILLAGE OF HOBART WARDS 1-8,16,1701,46,0,1,0,0,0,0,0,1,3,0,0,166,2623
BROWNVILLAGE OF HOWARD WARD 5,0,129,2,0,0,0,0,0,0,0,0,0,0,0,15,229
BROWNVILLAGE OF HOWARD WARD 7,4,239,3,0,0,0,0,0,0,0,0,0,0,0,22,406
BROWNVILLAGE OF HOWARD WARDS 13-14,7,382,6,0,0,0,0,0,0,0,1,0,0,0,37,678
BROWNVILLAGE OF HOWARD WARDS 15-16,5,490,12,0,0,0,0,0,0,0,0,0,0,0,49,908
"BROWNVILLAGE OF HOWARD WARDS 2,8,11",7,944,16,0,0,0,0,0,0,0,8,1,0,0,80,1408
"BROWNVILLAGE OF HOWARD WARDS 3-4,6",1,556,22,0,0,0,0,0,0,0,0,2,0,0,54,691
COLUMBIACITY OF COLUMBUS WARDS 1-8,12,1380,47,0,0,0,0,0,0,1,18,3,0,0,130,1089
COLUMBIACITY OF WISCONSIN DELLS WARD 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COLUMBIACITY OF WISCONSIN DELLS WARDS 1-3,6",1,507,22,0,0,0,0,0,0,0,2,1,0,0,31,536
DANECITY OF FITCHBURG WARDS 1-4,9,1826,35,0,2,0,0,0,0,0,15,1,0,0,82,372
DANECITY OF FITCHBURG WARDS 10-13,4,1914,30,0,1,0,0,0,0,1,14,1,0,0,86,382
"DANECITY OF FITCHBURG WARDS 15,18-19",6,1877,17,0,3,0,0,0,0,0,14,0,0,0,89,636
DANECITY OF FITCHBURG WARDS 16-17,2,758,18,0,1,0,0,0,0,0,0,3,0,0,43,361
DANECITY OF MADISON WARD 137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANECITY OF MADISON WARD 138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANECITY OF MIDDLETON WARDS 19-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANECITY OF STOUGHTON WARD 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANECITY OF STOUGHTON WARDS 10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANECITY OF STOUGHTON WARDS 7-8,3,1153,24,0,1,0,0,0,0,0,6,2,0,0,47,612
DANECITY OF SUN PRAIRIE WARDS 20-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DANECITY OF VERONA WARDS 2-4,6,1455,33,0,0,1,0,0,0,2,9,0,0,0,76,563
"DANETOWN OF COTTAGE GROVE WARDS 1-2,4-5,7",3,849,10,0,0,0,0,0,0,0,0,1,0,0,62,596
DANETOWN OF CROSS PLAINS WARD 1-2,9,498,15,0,0,0,0,0,0,0,3,0,0,0,34,394
DANETOWN OF CROSS PLAINS WARD 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DANETOWN OF DUNKIRK WARD 2,4,6",3,244,3,0,1,0,0,0,0,0,3,0,0,0,12,171
DANETOWN OF VERONA WARD 1,1,225,5,0,0,0,0,0,0,0,2,0,0,0,13,172
