precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_WILLIAMS
BROWNCITY OF DE PERE WARD 13,154,0,1,191,1,1,0,214,0,0,0,67,2,6,1,147,0
"BROWNCITY OF DE PERE WARDS 1-2,4",451,0,1,502,4,4,0,577,0,1,2,163,1,11,1,341,0
BROWNCITY OF DE PERE WARDS 14-15,247,0,1,298,2,4,0,452,0,0,2,98,1,6,0,329,0
BROWNTOWN OF NEW DENMARK WARD 3,29,0,0,31,0,0,0,55,0,0,0,8,0,0,0,36,0
BROWNVILLAGE OF HOBART WARD 1-5,285,0,1,335,0,5,1,615,1,0,0,183,1,8,0,496,0
BROWNVILLAGE OF HOBART WARD 6-9,162,0,2,252,3,0,0,286,0,2,1,58,0,9,1,235,0
BROWNVILLAGE OF HOWARD WARD 13,101,0,1,112,0,2,0,141,1,0,0,23,0,7,0,117,0
BROWNVILLAGE OF HOWARD WARD 14,25,0,0,23,1,0,2,111,0,0,0,25,0,2,0,49,0
BROWNVILLAGE OF HOWARD WARD 15,117,0,2,109,0,1,0,257,0,0,1,39,1,6,0,138,0
BROWNVILLAGE OF HOWARD WARD 16,42,0,0,37,0,1,0,115,0,0,0,24,0,1,0,74,0
BROWNVILLAGE OF HOWARD WARD 18,40,0,0,71,0,0,0,63,0,0,0,15,0,0,0,56,0
BROWNVILLAGE OF HOWARD WARD 3-4,93,0,1,143,0,1,1,102,0,0,1,14,0,1,0,100,0
BROWNVILLAGE OF HOWARD WARD 5-6,120,0,0,164,2,1,0,180,0,0,0,21,0,2,0,159,0
BROWNVILLAGE OF HOWARD WARD 7-8,208,0,0,220,1,1,0,389,0,0,0,69,0,9,0,263,0
CALUMETTOWN OF HARRISON WARD 10,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0
CALUMETTOWN OF HARRISON WARD 11,47,0,1,106,0,0,0,98,0,0,0,25,0,2,0,43,0
CALUMETTOWN OF HARRISON WARD 12,15,0,0,13,0,0,0,18,0,0,0,1,0,0,0,18,0
"COLUMBIACITY OF WISCONSIN DELLS WARDS 1-3,6,11",155,0,0,237,0,4,1,107,0,0,0,75,1,3,1,199,0
DANECITY OF FITCHBURG WARD 1-4,445,0,1,864,0,4,2,151,1,0,0,126,3,9,0,136,0
DANECITY OF STOUGHTON WARD 7-9,357,0,2,453,1,6,0,211,0,0,2,133,0,8,1,170,0
DANETOWN OF CROSS PLAINS WARD 1-3,166,0,3,240,1,1,1,152,0,0,0,89,0,3,0,108,0
DANETOWN OF VERONA WARD 1-4,227,0,0,325,1,6,0,146,0,0,0,114,0,1,0,175,0
"DANEVILLAGE OF BROOKLYN WARDS 1,3",66,0,0,156,0,0,0,56,0,0,0,19,1,0,0,50,0
DANEVILLAGE OF DEFOREST WARD 7-13,338,0,2,621,3,4,2,274,0,0,2,125,4,2,0,234,0
DANEVILLAGE OF WINDSOR WARDS 1-10,592,0,1,980,3,10,1,543,0,0,1,291,5,11,0,476,0
DODGETOWN OF LOWELL WARD 1-4,47,0,0,82,1,0,0,139,0,0,1,43,0,2,1,110,0
"DODGETOWN OF WESTFORD WARD 1-2,4",79,0,0,114,1,0,1,141,0,0,1,48,0,1,1,151,0
DOORCITY OF STURGEON BAY WARDS 20-21,3,0,0,16,0,0,0,11,0,0,0,3,0,1,0,12,0
DOORCITY OF STURGEON BAY WARDS 3-4,125,0,0,203,2,2,1,140,0,0,1,59,3,7,0,98,0
"DOORCITY OF STURGEON BAY WARDS 9-10,27",117,0,1,161,1,0,0,120,0,0,2,27,1,4,0,112,0
FOND DU LACTOWN OF CALUMET WARDS 1-2,94,0,0,101,0,3,1,223,0,0,0,37,0,4,0,155,0
FOND DU LACTOWN OF ROSENDALE WARD 2,23,0,0,66,0,0,0,132,0,0,0,17,0,2,0,66,0
GREENTOWN OF MOUNT PLEASANT WARD 3,20,0,0,29,0,0,0,16,0,0,0,10,0,0,1,21,0
GREENTOWN OF MOUNT PLEASANT WARDS 1-2,37,0,1,58,0,2,1,25,1,0,0,19,0,0,0,32,0
JEFFERSONCITY OF FORT ATKINSON WARDS 1-2,213,0,0,329,3,3,1,236,0,0,2,94,3,5,1,186,0
"JEFFERSONCITY OF FORT ATKINSON WARDS 7,9",179,0,2,279,1,2,1,185,0,2,2,77,2,3,0,152,0
JEFFERSONCITY OF JEFFERSON WARD 10,49,0,0,89,0,0,0,63,0,0,0,25,0,1,0,41,0
JEFFERSONCITY OF JEFFERSON WARD 5,46,0,0,59,0,1,0,52,0,0,1,19,0,1,0,50,0
JEFFERSONCITY OF JEFFERSON WARDS 1-2,142,0,0,177,0,0,0,181,0,0,0,53,0,2,0,134,0
"JEFFERSONCITY OF WATERTOWN WARDS 8,19",50,0,0,39,0,0,0,89,0,0,0,10,0,0,0,43,0
KENOSHATOWN OF SOMERS WARDS 1-2,83,0,1,96,2,0,0,99,0,0,0,19,0,4,1,120,0
LA CROSSETOWN OF SHELBY WARDS 1-6,523,0,2,577,0,4,2,410,2,0,0,283,2,12,0,437,0
MANITOWOCCITY OF MANITOWOC WARD 17-18,198,0,1,203,2,4,0,269,0,0,1,54,0,9,0,231,1
MANITOWOCCITY OF MANITOWOC WARD 19-20,266,0,3,282,0,4,0,556,0,1,1,113,1,9,0,319,0
MANITOWOCCITY OF MANITOWOC WARD 3-4,225,0,1,240,2,3,0,286,0,0,0,56,0,5,0,212,0
"MARATHONCITY OF ABBOTSFORD WARDS 1,6",11,0,0,19,1,0,0,18,0,0,0,7,0,1,0,31,0
"MONROECITY OF TOMAH WARDS 7-8,14-17,19",183,0,1,281,2,13,1,172,0,0,0,80,3,5,1,208,0
MONROETOWN OF LA GRANGE WARDS 2A-3A,53,0,1,94,0,2,0,84,0,0,0,39,2,2,0,107,0
MONROETOWN OF LA GRANGE WARDS 2B-3B,2,0,0,3,0,0,0,1,0,0,0,1,0,0,0,6,0
OCONTOCITY OF OCONTO FALLS WARD 1-6,157,0,2,179,0,3,0,217,0,0,1,36,2,5,1,252,0
OUTAGAMIETOWN OF GRAND CHUTE WARDS 5-7,210,0,0,394,2,2,2,392,0,1,0,98,4,11,1,321,0
OUTAGAMIETOWN OF GRAND CHUTE WARDS 8-10,152,0,0,234,3,2,0,230,1,1,1,50,1,6,0,179,0
OUTAGAMIETOWN OF GREENVILLE WARDS 1-5,288,0,1,335,1,6,0,727,2,0,0,190,3,8,0,520,0
"OUTAGAMIETOWN OF GREENVILLE WARDS 6,9",107,0,0,149,1,1,0,297,0,0,1,47,1,6,0,222,0
OUTAGAMIETOWN OF GREENVILLE WARDS 7-8,125,0,1,193,3,2,0,430,1,0,1,86,3,9,0,395,0
OUTAGAMIEVILLAGE OF COMBINED LOCKS WARDS 1-4,289,0,0,270,2,0,1,403,0,0,0,91,3,6,0,335,0
"OUTAGAMIEVILLAGE OF LITTLE CHUTE WARDS 1,3,9-11,14",251,0,0,366,2,3,0,381,2,0,2,68,2,5,1,307,0
