precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
CABELLCT 65 -MILTON MIDDLE SCH,1,65,5,11,330
CABELLNAN,182,11447,397,1209,19850
CABELLPCT 1 - CENTRAL CITY ELEM,7,201,15,22,317
CABELLPCT 10 -HUNTINGTON MIDDLE,1,236,3,6,81
CABELLPCT 11 -FIRST PRES CHURC,0,116,8,8,68
CABELLPCT 12 - AD LEWIS COMM,0,331,11,11,90
CABELLPCT 13 - BARNETT CENTER,0,275,10,24,167
CABELLPCT 14 - MEADOWS ELEM SCH,3,354,10,40,350
CABELLPCT 15 -FIRST PRES CHURCH,1,69,8,7,40
CABELLPCT 16 - SR LIFE ENRICH,3,320,2,8,16
CABELLPCT 17 - SPRING HILL ELEM,0,199,8,11,99
CABELLPCT 18 - MEADOWS ELEM,0,155,1,20,111
CABELLPCT 19 - HIGHLAWN ELEM,1,158,6,15,135
CABELLPCT 2 - CENTRAL CITY ELEM,4,68,8,7,99
CABELLPCT 20 - COMM OF GRACE,4,136,8,14,115
CABELLPCT 21 - FAIRFIELD E COMM,0,155,2,7,98
CABELLPCT 22 - HUNTINGTON HIGH,1,256,3,37,379
CABELLPCT 23 - FAIRFIELD E COMM,2,128,10,18,142
CABELLPCT 24 - LIGHTHOUSE BAPT,2,137,4,16,132
CABELLPCT 25 - BEV HILLS CHURCH,6,193,10,16,168
CABELLPCT 26 - HIGHLAWN ELEM,3,229,6,26,242
CABELLPCT 27 - COMM OF GRACE,1,104,1,8,144
CABELLPCT 28 -ODD FELLOWS LODGE,1,183,5,20,168
CABELLPCT 29 - HTGN EAST MIDDLE,5,155,8,19,215
CABELLPCT 3 - DEPT OF TRANS,4,178,10,15,202
CABELLPCT 30 - HTGN EAST MIDDLE,4,160,6,12,256
CABELLPCT 31 - HTGN EAST MIDDLE,1,257,12,35,395
CABELLPCT 32 - GUYANDOTTE ELEM,3,99,6,15,171
CABELLPCT 33 - GUYANDOTTE ELEM,2,52,1,7,165
CABELLPCT 34 - ALTIZER ELEM,3,129,6,16,285
CABELLPCT 35 - HUNTINGTON HIGH,2,155,7,19,309
CABELLPCT 36 - HITE SAUNDERS,7,135,6,23,484
CABELLPCT 37 - HITE SAUNDERS,2,156,1,16,281
CABELLPCT 38 -CABELL CO VO-TECH,1,114,3,9,160
CABELLPCT 39 -CABELL CO VO-TECH,1,176,5,28,347
CABELLPCT 4 - MUSEUM OF RADIO,0,93,6,19,178
CABELLPCT 40 -CABELL CO VO-TECH,4,187,11,22,238
CABELLPCT 41A - CABELL CO 4-H,1,182,4,16,302
CABELLPCT 41B - CABELL CO 4-H,2,202,2,22,315
CABELLPCT 42 -B'VILLE COMM BLDG,3,235,5,29,461
CABELLPCT 43-B'VILLE MIDDLE SCH,3,167,7,19,335
CABELLPCT 44 - B'VILLE ELEM SCH,2,143,5,14,239
CABELLPCT 45 - B'VILLE ELEM SCH,1,155,7,16,348
CABELLPCT 46-B'VILLE MIDDLE SCH,5,287,3,23,643
CABELLPCT 47 - DAVIS CREEK ELEM,2,168,5,15,339
CABELLPCT 48 - DAVIS CREEK ELEM,1,67,0,10,223
CABELLPCT 49 - MARTHA ELEM SCH,3,176,5,14,700
CABELLPCT 5 - DEPT OF TRANS,0,82,4,11,96
CABELLPCT 50A - SALT ROCK ELEM,7,56,3,13,437
CABELLPCT 50B - SALT ROCK ELEM,3,76,3,11,355
CABELLPCT 51 - MARTHA ELEM SCH,9,137,7,15,457
CABELLPCT 52 - NICHOLS ELEM SCH,2,127,3,15,326
CABELLPCT 53 - NICHOLS ELEM SCH,0,115,2,18,365
CABELLPCT 54 - YMCA KENNEDY CTR,6,168,5,13,375
CABELLPCT 55 - COX LANDING ELEM,3,135,5,21,476
CABELLPCT 56 - GREENBOTTOM COMM,5,73,5,9,224
CABELLPCT 57-PLEASANT VIEW HALL,0,41,2,8,256
CABELLPCT 58 - CABELL MIDLAND,6,195,8,31,741
CABELLPCT 59A - CABELL MIDLAND,5,115,3,16,279
CABELLPCT 59B - CABELL MIDLAND,4,88,2,21,305
CABELLPCT 6 - HUNTINGTON MIDDLE,3,349,7,25,249
CABELLPCT 60A - CABELL MIDLAND,4,152,7,19,412
CABELLPCT 60B - CABELL MIDLAND,4,129,5,23,402
CABELLPCT 61 -MILTON MIDDLE SCH,2,148,5,18,566
CABELLPCT 62 - CULLODEN ELEM,3,173,8,18,487
CABELLPCT 63-MILTON BAPT CHURCH,2,115,4,28,447
CABELLPCT 64-MILTON BAPT CHURCH,1,104,5,19,319
CABELLPCT 66 - CULLODEN ELEM,2,107,3,12,335
CABELLPCT 7A - SOUTHSIDE ELEM,3,271,3,18,244
CABELLPCT 7B - SOUTHSIDE ELEM,2,305,11,20,247
CABELLPCT 8 - WOODLANDS RET COMM,1,101,3,7,190
CABELLPCT 9 - HTGN CITY HALL,2,189,9,15,178
DODDRIDGE10,1,47,3,10,274
DODDRIDGE13,2,30,7,8,238
DODDRIDGE14,2,28,0,6,162
DODDRIDGE17,1,35,5,6,185
DODDRIDGE18,1,15,1,2,102
DODDRIDGE2,4,58,4,10,331
DODDRIDGE20,1,26,3,4,193
DODDRIDGE22,2,21,1,6,146
DODDRIDGE24,1,33,6,7,283
DODDRIDGE4,0,14,2,1,85
DODDRIDGE6,1,27,2,2,149
DODDRIDGE9,2,28,3,3,210
DODDRIDGETOTAL,18,362,37,65,2358
KANAWHA103,1,116,1,4,149
KANAWHA105,1,110,2,10,202
KANAWHA106,4,105,2,13,228
KANAWHA108,1,48,3,2,179
KANAWHA109,2,156,9,22,297
KANAWHA109A,0,19,0,0,10
KANAWHA110,5,141,3,20,382
KANAWHA111,1,40,1,5,142
KANAWHA112,2,181,8,12,311
KANAWHA114,3,113,3,13,204
KANAWHA115,1,391,12,14,212
KANAWHA117,0,54,2,7,145
KANAWHA117A,0,38,0,4,24
KANAWHA118,1,80,3,14,318
KANAWHA119,0,66,1,12,250
KANAWHA120,3,153,4,15,352
KANAWHA123,0,179,11,24,253
KANAWHA123A,0,2,0,0,7
KANAWHA131,0,101,2,5,67
KANAWHA133,0,31,1,0,66
KANAWHA134,0,83,0,1,154
KANAWHA136,2,153,5,8,194
KANAWHA138,0,108,1,10,269
KANAWHA140,0,43,0,4,117
KANAWHA142,2,78,0,12,171
KANAWHA145,1,67,1,7,162
KANAWHA147,1,122,5,10,247
KANAWHA148,0,57,2,2,181
KANAWHA149,0,78,3,2,193
KANAWHA150,0,46,1,4,109
KANAWHA151,0,78,0,5,68
KANAWHA152,0,171,8,17,364
KANAWHA158,4,65,2,3,191
KANAWHA160,1,387,7,28,332
KANAWHA160A,0,14,0,1,3
KANAWHA161,0,222,7,15,229
KANAWHA163,1,299,4,28,305
KANAWHA164,3,247,9,22,209
KANAWHA165,2,265,3,13,261
KANAWHA166,0,113,6,8,111
KANAWHA167,1,191,2,4,62
KANAWHA168,0,146,7,9,66
KANAWHA169,2,172,5,5,47
KANAWHA170,1,518,20,22,179
KANAWHA172,4,254,11,16,119
KANAWHA174,1,527,14,26,185
KANAWHA175,4,375,9,30,440
KANAWHA175A,0,9,0,1,31
KANAWHA178,0,80,3,5,45
KANAWHA179,1,91,1,8,97
KANAWHA202,0,100,2,15,368
KANAWHA203,2,95,3,12,341
KANAWHA205,1,190,3,31,643
KANAWHA207,2,76,2,10,158
KANAWHA208,1,246,5,15,257
KANAWHA217,1,196,8,18,211
KANAWHA223,4,323,9,25,401
KANAWHA226,1,242,6,14,157
KANAWHA227,2,311,14,37,329
KANAWHA233,4,333,3,33,323
KANAWHA234,0,266,7,29,279
KANAWHA238,3,114,5,8,94
KANAWHA239,0,167,2,15,210
KANAWHA240,1,428,7,32,421
KANAWHA240A,0,35,0,2,38
KANAWHA240B,0,8,0,1,4
KANAWHA241,6,340,7,21,352
KANAWHA244,0,321,7,28,183
KANAWHA246,3,234,5,32,233
KANAWHA247,0,143,6,27,133
KANAWHA253,0,368,10,32,323
KANAWHA254,4,417,9,29,347
KANAWHA258,1,109,5,4,80
KANAWHA260,1,273,11,26,236
KANAWHA276,2,50,4,1,88
KANAWHA277,2,282,6,15,323
KANAWHA277A,0,37,0,4,40
KANAWHA278,4,137,6,12,346
KANAWHA279,0,92,1,6,74
KANAWHA280,2,95,5,12,273
KANAWHA281,0,231,7,16,317
KANAWHA282,3,251,5,19,356
KANAWHA283,2,168,4,6,206
KANAWHA285,0,107,1,2,95
KANAWHA286,1,292,2,20,323
KANAWHA287,1,128,4,11,149
KANAWHA287A,0,73,1,7,156
KANAWHA288,2,92,2,12,140
KANAWHA289,3,135,3,8,229
KANAWHA290,0,162,2,19,194
KANAWHA291,0,227,2,7,278
KANAWHA292,2,168,5,11,165
KANAWHA294,6,259,8,26,333
KANAWHA295,0,139,3,18,128
KANAWHA296,3,217,4,20,277
KANAWHA297,1,233,10,18,226
KANAWHA298,2,166,7,13,129
KANAWHA302,0,165,4,14,336
KANAWHA304,5,151,4,15,244
KANAWHA305,2,142,10,19,290
KANAWHA307,3,209,6,32,744
KANAWHA308,3,100,3,11,300
KANAWHA309,4,193,4,30,407
KANAWHA310,1,245,5,20,470
KANAWHA317,3,173,5,10,254
KANAWHA321,4,235,6,28,342
KANAWHA326,2,192,9,24,381
KANAWHA329,4,192,10,22,351
KANAWHA333,1,140,5,15,320
KANAWHA337,2,195,11,23,363
KANAWHA340,1,117,3,14,184
KANAWHA347,4,262,13,29,386
KANAWHA349,1,80,4,14,178
KANAWHA350,0,124,5,13,221
KANAWHA351,0,120,5,13,236
KANAWHA352,7,168,6,22,469
KANAWHA354,3,178,3,19,394
KANAWHA357,0,509,3,7,115
KANAWHA358,4,97,2,11,341
KANAWHA359,0,197,5,23,553
KANAWHA360,1,147,5,19,383
KANAWHA361,3,295,16,29,501
KANAWHA362,2,258,11,29,435
KANAWHA364,4,171,2,13,338
KANAWHA365,1,117,8,15,361
KANAWHA366,3,128,2,13,249
KANAWHA368,4,258,4,25,416
KANAWHA370,6,250,6,24,454
KANAWHA371,1,152,5,22,329
KANAWHA373,0,82,4,6,212
KANAWHA374,2,99,10,15,487
KANAWHA378,0,50,0,5,155
KANAWHA379,1,80,2,10,353
KANAWHA401,0,69,3,5,229
KANAWHA402,1,112,6,12,110
KANAWHA403,5,555,12,23,297
KANAWHA403A,0,15,0,1,14
KANAWHA404,2,82,3,7,60
KANAWHA406,1,206,3,7,80
KANAWHA407,0,336,7,6,58
KANAWHA408,2,220,5,17,134
KANAWHA410,0,69,2,6,103
KANAWHA411,3,219,3,17,70
KANAWHA412,1,250,4,5,95
KANAWHA413,1,91,0,3,41
KANAWHA413A,0,5,0,0,7
KANAWHA414,0,127,11,8,125
KANAWHA415,0,327,5,12,239
KANAWHA416,0,180,3,18,242
KANAWHA416A,0,13,0,0,11
KANAWHA417,0,96,3,10,181
KANAWHA418,1,19,1,4,92
KANAWHA419,2,123,3,12,590
KANAWHA420,0,54,1,7,230
KANAWHA421,2,136,3,18,486
KANAWHA423,3,168,8,20,644
KANAWHA424,3,134,3,19,428
KANAWHA425,0,150,8,22,365
KANAWHA426,0,173,6,18,397
KANAWHA427,2,170,4,25,326
KANAWHA428,1,122,8,20,441
KANAWHA429,0,121,8,10,567
KANAWHA431,2,138,6,13,483
KANAWHA432,2,162,10,13,645
KANAWHA433,1,90,2,10,283
KANAWHA434,1,78,2,7,227
KANAWHA435,4,100,4,17,351
KANAWHA436,2,127,6,22,423
KANAWHA436A,0,28,0,0,47
KANAWHA437,3,192,6,25,575
KANAWHA438,1,132,4,40,547
KANAWHA439,1,150,4,27,553
KANAWHA440,5,105,2,20,303
KANAWHA441,6,89,7,14,294
MARSHALL1,2,94,2,16,192
MARSHALL10,1,65,3,12,185
MARSHALL11,2,111,4,21,404
MARSHALL12,2,82,6,13,359
MARSHALL13,0,112,3,9,217
MARSHALL14,0,111,7,10,339
