candidate,party
TRUMP,REP
CLINTON,DEM
JOHNSON,LIB
STEIN,GRN
CASTLE,CON
CUBBLER,IND
FOX,IND
HOEFLING,IND
KOTLIKOFF,IND
LEE,IND
MATUREN,IND
MCMULLIN,IND
MOOREHEAD,IND
MORROW,IND
SOLTYSIK,IND
STEFFES,IND
VALDIVIA,IND
SCHULIN,IND
RODRIGUEZ,IND
KUSHNER,IND
LEAMER,IND
ERSKINE,IND
LILLY,IND
SANDERS,IND
WALKER,IND
CASE,IND
BARRIERE,IND
CRUZ,IND
BARAKA,GRN
CHRISTIE,IND
RUBIO,IND
ARRINGTON,REP
HURD,REP
GALLEGO,DEM
CORVALAN,LIB
PENCE,REP
KAINE,DEM
WELD,LIB
(W),IND
SCHOLIN,IND
DONALD J. TRUMP,REP
HILLARY CLINTON,DEM
GARY JOHNSON,LIB
JOHNSTON,LIB
SCHOENKE,IND
FEEGBEH,IND
COPELAND,CON
FUENTE,IND
HARTNELL,IND
HEDGES,PRO
SKEWES,AMR
KENNEDY,IND
SMITH,IND
RIVA,SOL
KENISTON,IND
MALDONADO,IND
DUNCAN,IND
