county,precinct,office,district,party,candidate,votes
Autauga,10 JONES COMMUNITY CTR,President,,DEM,Bernie Sanders,9
Autauga,10 JONES COMMUNITY CTR,President,,DEM,Hillary Clinton,67
Autauga,10 JONES COMMUNITY CTR,President,,DEM,Martin J. O'Malley,0
Autauga,10 JONES COMMUNITY CTR,President,,DEM,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,President,,DEM,"Roque ""Rocky"" De La Fuente",0
Autauga,10 JONES COMMUNITY CTR,President,,DEM,Uncommitted,0
Autauga,10 JONES COMMUNITY CTR,President,,DEM,Under Votes,1
Autauga,10 JONES COMMUNITY CTR,President,,REP,Ben Carson,14
Autauga,10 JONES COMMUNITY CTR,President,,REP,Carly Fiorina,0
Autauga,10 JONES COMMUNITY CTR,President,,REP,Chris Christie,0
Autauga,10 JONES COMMUNITY CTR,President,,REP,Donald J. Trump,75
Autauga,10 JONES COMMUNITY CTR,President,,REP,Jeb Bush,0
Autauga,10 JONES COMMUNITY CTR,President,,REP,John R. Kasich,2
Autauga,10 JONES COMMUNITY CTR,President,,REP,Lindsey Graham,1
Autauga,10 JONES COMMUNITY CTR,President,,REP,Marco Rubio,14
Autauga,10 JONES COMMUNITY CTR,President,,REP,Mike Huckabee,6
Autauga,10 JONES COMMUNITY CTR,President,,REP,Over Votes,1
Autauga,10 JONES COMMUNITY CTR,President,,REP,Rand Paul,0
Autauga,10 JONES COMMUNITY CTR,President,,REP,Rick Santorum,0
Autauga,10 JONES COMMUNITY CTR,President,,REP,Ted Cruz,25
Autauga,10 JONES COMMUNITY CTR,President,,REP,Uncommitted,2
Autauga,10 JONES COMMUNITY CTR,President,,REP,Under Votes,0
Autauga,10 JONES COMMUNITY CTR,U.S. House,2,REP,Becky Gerritson,26
Autauga,10 JONES COMMUNITY CTR,U.S. House,2,REP,Martha Roby,88
Autauga,10 JONES COMMUNITY CTR,U.S. House,2,REP,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,U.S. House,2,REP,"Robert L. ""Bob"" Rogers",15
Autauga,10 JONES COMMUNITY CTR,U.S. House,2,REP,Under Votes,11
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,DEM,Charles Nana,30
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,DEM,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,DEM,Ron Crumpton,21
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,DEM,Under Votes,26
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,REP,John Martin,1
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,REP,Jonathan McConnell,29
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,REP,Marcus Bowman,1
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,REP,Over Votes,0
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,REP,Richard C. Shelby,94
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,REP,Shadrack McGill,1
Autauga,10 JONES COMMUNITY CTR,U.S. Senate,,REP,Under Votes,14
Autauga,100 TRINITY METHODIST,President,,DEM,Bernie Sanders,36
Autauga,100 TRINITY METHODIST,President,,DEM,Hillary Clinton,64
Autauga,100 TRINITY METHODIST,President,,DEM,Martin J. O'Malley,0
Autauga,100 TRINITY METHODIST,President,,DEM,Over Votes,1
Autauga,100 TRINITY METHODIST,President,,DEM,"Roque ""Rocky"" De La Fuente",1
Autauga,100 TRINITY METHODIST,President,,DEM,Uncommitted,2
Autauga,100 TRINITY METHODIST,President,,DEM,Under Votes,1
Autauga,100 TRINITY METHODIST,President,,REP,Ben Carson,228
Autauga,100 TRINITY METHODIST,President,,REP,Carly Fiorina,1
Autauga,100 TRINITY METHODIST,President,,REP,Chris Christie,0
Autauga,100 TRINITY METHODIST,President,,REP,Donald J. Trump,572
Autauga,100 TRINITY METHODIST,President,,REP,Jeb Bush,3
Autauga,100 TRINITY METHODIST,President,,REP,John R. Kasich,43
Autauga,100 TRINITY METHODIST,President,,REP,Lindsey Graham,0
Autauga,100 TRINITY METHODIST,President,,REP,Marco Rubio,205
Autauga,100 TRINITY METHODIST,President,,REP,Mike Huckabee,0
Autauga,100 TRINITY METHODIST,President,,REP,Over Votes,0
Autauga,100 TRINITY METHODIST,President,,REP,Rand Paul,5
Autauga,100 TRINITY METHODIST,President,,REP,Rick Santorum,1
Autauga,100 TRINITY METHODIST,President,,REP,Ted Cruz,291
Autauga,100 TRINITY METHODIST,President,,REP,Uncommitted,10
Autauga,100 TRINITY METHODIST,President,,REP,Under Votes,7
Autauga,100 TRINITY METHODIST,U.S. House,2,REP,Becky Gerritson,499
Autauga,100 TRINITY METHODIST,U.S. House,2,REP,Martha Roby,753
Autauga,100 TRINITY METHODIST,U.S. House,2,REP,Over Votes,1
Autauga,100 TRINITY METHODIST,U.S. House,2,REP,"Robert L. ""Bob"" Rogers",47
Autauga,100 TRINITY METHODIST,U.S. House,2,REP,Under Votes,66
Autauga,100 TRINITY METHODIST,U.S. Senate,,DEM,Charles Nana,20
Autauga,100 TRINITY METHODIST,U.S. Senate,,DEM,Over Votes,0
Autauga,100 TRINITY METHODIST,U.S. Senate,,DEM,Ron Crumpton,57
Autauga,100 TRINITY METHODIST,U.S. Senate,,DEM,Under Votes,28
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,John Martin,45
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Jonathan McConnell,351
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Marcus Bowman,25
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Over Votes,0
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Richard C. Shelby,822
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Shadrack McGill,10
Autauga,100 TRINITY METHODIST,U.S. Senate,,REP,Under Votes,113
Autauga,110 CENTRAL AL ELECTRIC,President,,DEM,Bernie Sanders,6
Autauga,110 CENTRAL AL ELECTRIC,President,,DEM,Hillary Clinton,120
