county,precinct,office,district,party,candidate,votes,election_day,early_voting,absentee,provisional,hand_count
Arkansas,ALMYRA,All Unopposed Candidates,,NON,For,90,68,20,2,0,0
Arkansas,ALMYRA,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,106,77,27,2,0,0
Arkansas,ALMYRA,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,AGAINST,34,22,10,2,0,0
Arkansas,ALMYRA,"ISSUE NO. 1: PROPOSING AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING THE TERMS, ELECTION, AND ELIGIBILITY OF ELECTED OFFICIALS",,NON,FOR,74,56,18,0,0,0
Arkansas,ALMYRA,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,AGAINST,27,18,7,2,0,0
Arkansas,ALMYRA,ISSUE NO. 2: A CONSTITUTIONAL AMENDMENT TO ALLOW THE GOVERNOR TO RETAIN HIS OR HER POWERS AND DUTIES WHEN ABSENT FROM THE STATE,,NON,FOR,84,61,23,0,0,0
Arkansas,ALMYRA,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,AGAINST,41,30,9,2,0,0
Arkansas,ALMYRA,"ISSUE NO. 3: AN AMENDMENT TO THE ARKANSAS CONSTITUTION CONCERNING JOB CREATION, JOB EXPANSION, AND ECONOMIC DEVELOPMENT",,NON,FOR,68,48,20,0,0,0
Arkansas,ALMYRA,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,AGAINST,58,40,16,2,0,0
Arkansas,ALMYRA,ISSUE NO. 6: ARKANSAS MEDICAL MARIJUANA AMENDMENT OF 2016,,NON,FOR,52,38,14,0,0,0
Arkansas,ALMYRA,U.S. House,1,LIB,Mark West,12,8,4,0,0,0
Arkansas,ALMYRA,U.S. House,1,REP,Congressman Rick Crawford,97,69,26,2,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,BFA,Evan McMullin/Nathan Johnson,2,2,0,0,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,CST,Darrell L. Castle/Scott N. Bradley,1,1,0,0,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,DEM,Hillary Clinton/Tim Kaine,8,7,1,0,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,IND,Lynn S. Kahn/Kathleen Monahan,2,2,0,0,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,LIB,Gary Johnson/Bill Weld,3,1,2,0,0,0
Arkansas,ALMYRA,U.S. President & Vice President,,REP,Donald J. Trump/Michael R. Pence,96,67,27,2,0,0
Arkansas,ALMYRA,U.S. Senate,,DEM,Conner Eldridge,25,20,5,0,0,0
Arkansas,ALMYRA,U.S. Senate,,LIB,Frank Gilbert,2,2,0,0,0,0
Arkansas,ALMYRA,U.S. Senate,,REP,Senator John Boozman,85,58,25,2,0,0
Arkansas,ARKANSAS,All Unopposed Candidates,,NON,For,28,13,14,1,0,0
Arkansas,ARKANSAS,Arkansas County Circuit Clerk,,DEM,Sarah Merchant,36,16,19,1,0,0
