,contest,precinct,contest_id,contest_name,choice,choice_name,number
0,10,1,999999,Race Statistics,999999,Number of Precincts,1
1,10,1,999999,Race Statistics,999998,Number of Precincts Reporting,1
2,10,1,10,President - Rep CD3,999999,Number of Precincts for Race,1
3,10,1,10,President - Rep CD3,999998,Number of Precincts Reporting,1
4,10,1,10,President - Rep CD3,999997,Registered Voters,9434
5,10,1,10,President - Rep CD3,999996,Times Counted,4618
6,10,1,10,President - Rep CD3,10,"Santorum, Rick",6
7,10,1,10,President - Rep CD3,20,"Cook, Tim",4
8,10,1,10,President - Rep CD3,30,"Paul, Rand",14
9,10,1,10,President - Rep CD3,40,"Rubio, Marco",505
10,10,1,10,President - Rep CD3,50,"Graham, Lindsey",5
11,10,1,10,President - Rep CD3,60,"Kasich, John R.",334
12,10,1,10,President - Rep CD3,70,"Bush, Jeb",54
13,10,1,10,President - Rep CD3,80,"Trump, Donald J.",1966
14,10,1,10,President - Rep CD3,90,"Fiorina, Carly",7
15,10,1,10,President - Rep CD3,100,"Pataki, George E.",1
16,10,1,10,President - Rep CD3,110,"Cruz, Ted",1555
17,10,1,10,President - Rep CD3,120,"Huckabee, Mike",14
18,10,1,10,President - Rep CD3,130,"Christie, Chris",8
19,10,1,10,President - Rep CD3,140,"Carson, Ben",130
20,10,1,20,President - Dem CD3,999999,Number of Precincts for Race,1
21,10,1,20,President - Dem CD3,999998,Number of Precincts Reporting,1
22,10,1,20,President - Dem CD3,999997,Registered Voters,17736
23,10,1,20,President - Dem CD3,999996,Times Counted,5948
24,10,1,20,President - Dem CD3,10,"De La Fuente, Roque",92
25,10,1,20,President - Dem CD3,20,"Steinberg, Michael",29
26,10,1,20,President - Dem CD3,30,"Sanders, Bernie",1908
27,10,1,20,President - Dem CD3,40,"O'Malley, Martin J.",58
28,10,1,20,President - Dem CD3,50,"Clinton, Hillary",3773
29,10,1,20,President - Dem CD3,60,"Hewes, Henry",48
30,10,1,30,President - Grn CD3,999999,Number of Precincts for Race,1
31,10,1,30,President - Grn CD3,999998,Number of Precincts Reporting,1
32,10,1,30,President - Grn CD3,999997,Registered Voters,19
33,10,1,30,President - Grn CD3,999996,Times Counted,1
34,10,1,30,President - Grn CD3,10,"Mesplay, Kent",1
35,10,1,30,President - Grn CD3,20,"Stein, Jill",0
36,20,2,999999,Race Statistics,999999,Number of Precincts,1
37,20,2,999999,Race Statistics,999998,Number of Precincts Reporting,1
38,20,2,40,President - Rep CD4,999999,Number of Precincts for Race,1
39,20,2,40,President - Rep CD4,999998,Number of Precincts Reporting,1
40,20,2,40,President - Rep CD4,999997,Registered Voters,11204
41,20,2,40,President - Rep CD4,999996,Times Counted,6757
42,20,2,40,President - Rep CD4,10,"Santorum, Rick",2
43,20,2,40,President - Rep CD4,20,"Cook, Tim",1
44,20,2,40,President - Rep CD4,30,"Paul, Rand",18
45,20,2,40,President - Rep CD4,40,"Rubio, Marco",540
46,20,2,40,President - Rep CD4,50,"Graham, Lindsey",2
47,20,2,40,President - Rep CD4,60,"Kasich, John R.",458
48,20,2,40,President - Rep CD4,70,"Bush, Jeb",32
49,20,2,40,President - Rep CD4,80,"Trump, Donald J.",3531
