county,precinct,candidate,party,office,district,votes,write_ins,under_votes,over_votes
Maricopa,0001 ACACIA,Election Day Paper Turnout,,Registration & Turnout,,648,0,0,0
Maricopa,0001 ACACIA,Early Voting Paper Turnout,,Registration & Turnout,,1958,0,0,0
Maricopa,0001 ACACIA,Early Voting Edge Turnout,,Registration & Turnout,,0,0,0,0
Maricopa,0001 ACACIA,Election Day Edge Turnout,,Registration & Turnout,,0,0,0,0
Maricopa,0001 ACACIA,TRUMP PENCE,REP,President,,1156,0,33,43
Maricopa,0001 ACACIA,CLINTON KAINE,DEM,President,,1144,0,33,43
Maricopa,0001 ACACIA,JOHNSON WELD,LBT,President,,133,0,33,43
Maricopa,0001 ACACIA,STEIN BARAKA,GRN,President,,45,0,33,43
Maricopa,0001 ACACIA,Write-ins,,President,,52,1,33,43
Maricopa,0001 ACACIA,"MCCAIN, JOHN",REP,U.S. Senate,,1250,0,96,49
Maricopa,0001 ACACIA,"KIRKPATRICK, ANN",DEM,U.S. Senate,,1006,0,96,49
Maricopa,0001 ACACIA,"SWING, GARY",GRN,U.S. Senate,,194,0,96,49
Maricopa,0001 ACACIA,Write-ins,,U.S. Senate,,11,1,96,49
Maricopa,0001 ACACIA,"SCHWEIKERT, DAVID",REP,U.S. House,6,1256,0,232,3
Maricopa,0001 ACACIA,"WILLIAMSON, W. JOHN",DEM,U.S. House,6,1108,0,232,3
Maricopa,0001 ACACIA,Write-ins,,U.S. House,6,7,1,232,3
Maricopa,0001 ACACIA,"YEE, KIMBERLY",REP,State Senate,20,1048,0,195,17
Maricopa,0001 ACACIA,"HERRERA, LARRY",DEM,State Senate,20,945,0,195,17
Maricopa,0001 ACACIA,"QUELLAND, DOUG ''Q''",IND,State Senate,20,394,0,195,17
Maricopa,0001 ACACIA,Write-ins,,State Senate,20,5,1,195,17
Maricopa,0001 ACACIA,"BOYER, PAUL",REP,State Representative,20,1024,0,1895,4
Maricopa,0001 ACACIA,"KERN, ANTHONY",REP,State Representative,20,1107,0,1895,4
Maricopa,0001 ACACIA,"GILFILLAN, CHRISTOPHER ''CHRIS''",DEM,State Representative,20,1165,0,1895,4
Maricopa,0001 ACACIA,Write-ins,,State Representative,20,13,1,1895,4
