county,precinct,office,district,candidate,party,votes
Queens,"=""1/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""1/23""",President,NYC,Absentee / Military,,47
Queens,"=""1/23""",President,NYC,Federal,,0
Queens,"=""1/23""",President,NYC,Special Presidential,,0
Queens,"=""1/23""",President,NYC,Affidavit,,5
Queens,"=""1/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,164
Queens,"=""1/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,467
Queens,"=""1/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,105
Queens,"=""1/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Queens,"=""1/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
Queens,"=""1/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,13
Queens,"=""1/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Queens,"=""1/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,8
Queens,"=""1/23""",President,NYC,Scattered,,8
Queens,"=""2/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""2/23""",President,NYC,Absentee / Military,,37
Queens,"=""2/23""",President,NYC,Federal,,2
Queens,"=""2/23""",President,NYC,Special Presidential,,0
Queens,"=""2/23""",President,NYC,Affidavit,,16
Queens,"=""2/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,148
Queens,"=""2/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,466
Queens,"=""2/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,107
Queens,"=""2/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,15
Queens,"=""2/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Queens,"=""2/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,7
Queens,"=""2/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,"=""2/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,6
Queens,"=""2/23""",President,NYC,Scattered,,8
Queens,"=""3/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""3/23""",President,NYC,Absentee / Military,,41
Queens,"=""3/23""",President,NYC,Federal,,1
Queens,"=""3/23""",President,NYC,Special Presidential,,0
Queens,"=""3/23""",President,NYC,Affidavit,,18
Queens,"=""3/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,157
Queens,"=""3/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,479
Queens,"=""3/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,80
Queens,"=""3/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,6
Queens,"=""3/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
Queens,"=""3/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,16
Queens,"=""3/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Queens,"=""3/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
Queens,"=""3/23""",President,NYC,Scattered,,7
Queens,"=""4/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""4/23""",President,NYC,Absentee / Military,,5
Queens,"=""4/23""",President,NYC,Federal,,0
Queens,"=""4/23""",President,NYC,Special Presidential,,0
Queens,"=""4/23""",President,NYC,Affidavit,,4
Queens,"=""4/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,31
Queens,"=""4/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,89
Queens,"=""4/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,10
Queens,"=""4/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Queens,"=""4/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,0
Queens,"=""4/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
Queens,"=""4/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,"=""4/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Queens,"=""5/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""5/23""",President,NYC,Absentee / Military,,33
Queens,"=""5/23""",President,NYC,Federal,,1
Queens,"=""5/23""",President,NYC,Special Presidential,,0
Queens,"=""5/23""",President,NYC,Affidavit,,16
Queens,"=""5/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,268
Queens,"=""5/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,395
Queens,"=""5/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,32
Queens,"=""5/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,11
Queens,"=""5/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
