county,precinct,office,district,candidate,party,votes
Bronx,001/77,President,NYC,Manually Counted Emergency,,0
Bronx,001/77,President,NYC,Absentee / Military,,1
Bronx,001/77,President,NYC,Federal,,0
Bronx,001/77,President,NYC,Special Presidential,,0
Bronx,001/77,President,NYC,Affidavit,,24
Bronx,001/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,198
Bronx,001/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,9
Bronx,001/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Bronx,001/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,2
Bronx,001/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,2
Bronx,001/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Bronx,001/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,001/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Bronx,002/77,President,NYC,Manually Counted Emergency,,0
Bronx,002/77,President,NYC,Absentee / Military,,6
Bronx,002/77,President,NYC,Federal,,0
Bronx,002/77,President,NYC,Special Presidential,,0
Bronx,002/77,President,NYC,Affidavit,,26
Bronx,002/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,214
Bronx,002/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,9
Bronx,002/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
Bronx,002/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,2
Bronx,002/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Bronx,002/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Bronx,002/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Bronx,002/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,003/77,President,NYC,Manually Counted Emergency,,0
Bronx,003/77,President,NYC,Absentee / Military,,8
Bronx,003/77,President,NYC,Federal,,0
Bronx,003/77,President,NYC,Special Presidential,,0
Bronx,003/77,President,NYC,Affidavit,,14
Bronx,003/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,373
Bronx,003/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,9
Bronx,003/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Bronx,003/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Bronx,003/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
Bronx,003/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Bronx,003/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,003/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,004/77,President,NYC,Manually Counted Emergency,,0
Bronx,004/77,President,NYC,Absentee / Military,,5
Bronx,004/77,President,NYC,Federal,,4
Bronx,004/77,President,NYC,Special Presidential,,0
Bronx,004/77,President,NYC,Affidavit,,37
Bronx,004/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,449
Bronx,004/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,19
Bronx,004/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Bronx,004/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Bronx,004/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,15
Bronx,004/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Bronx,004/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,004/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,004/77,President,NYC,Scattered,,1
Bronx,005/77,President,NYC,Manually Counted Emergency,,0
Bronx,005/77,President,NYC,Absentee / Military,,12
Bronx,005/77,President,NYC,Federal,,0
Bronx,005/77,President,NYC,Special Presidential,,0
Bronx,005/77,President,NYC,Affidavit,,44
Bronx,005/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,694
Bronx,005/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,20
Bronx,005/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
