county,precinct,office,district,candidate,party,votes
Kings,001/41,President,NYC,Manually Counted Emergency,,0
Kings,001/41,President,NYC,Absentee / Military,,16
Kings,001/41,President,NYC,Federal,,9
Kings,001/41,President,NYC,Special Presidential,,0
Kings,001/41,President,NYC,Affidavit,,14
Kings,001/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,188
Kings,001/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,375
Kings,001/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,38
Kings,001/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Kings,001/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Kings,001/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Kings,001/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,001/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
Kings,001/41,President,NYC,Scattered,,9
Kings,002/41,President,NYC,Manually Counted Emergency,,0
Kings,002/41,President,NYC,Absentee / Military,,15
Kings,002/41,President,NYC,Federal,,5
Kings,002/41,President,NYC,Special Presidential,,0
Kings,002/41,President,NYC,Affidavit,,18
Kings,002/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,215
Kings,002/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,354
Kings,002/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,37
Kings,002/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Kings,002/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
Kings,002/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Kings,002/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Kings,002/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,002/41,President,NYC,Scattered,,6
Kings,003/41,President,NYC,Manually Counted Emergency,,0
Kings,003/41,President,NYC,Absentee / Military,,4
Kings,003/41,President,NYC,Federal,,0
Kings,003/41,President,NYC,Special Presidential,,0
Kings,003/41,President,NYC,Affidavit,,7
Kings,003/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,92
Kings,003/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,125
Kings,003/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,9
Kings,003/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Kings,003/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
Kings,003/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,003/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,003/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,003/41,President,NYC,Scattered,,1
Kings,004/41,President,NYC,Manually Counted Emergency,,0
Kings,004/41,President,NYC,Absentee / Military,,21
Kings,004/41,President,NYC,Federal,,1
Kings,004/41,President,NYC,Special Presidential,,0
Kings,004/41,President,NYC,Affidavit,,15
Kings,004/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,136
Kings,004/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,215
Kings,004/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,17
Kings,004/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Kings,004/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,11
Kings,004/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
Kings,004/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Kings,004/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
Kings,004/41,President,NYC,Scattered,,7
Kings,005/41,President,NYC,Manually Counted Emergency,,0
Kings,005/41,President,NYC,Absentee / Military,,11
Kings,005/41,President,NYC,Federal,,1
Kings,005/41,President,NYC,Special Presidential,,0
Kings,005/41,President,NYC,Affidavit,,10
Kings,005/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,98
Kings,005/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,280
Kings,005/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,19
Kings,005/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Kings,005/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,1
Kings,005/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,5
Kings,005/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,005/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,005/41,President,NYC,Scattered,,4
Kings,006/41,President,NYC,Manually Counted Emergency,,0
Kings,006/41,President,NYC,Absentee / Military,,10
Kings,006/41,President,NYC,Federal,,0
Kings,006/41,President,NYC,Special Presidential,,0
Kings,006/41,President,NYC,Affidavit,,1
Kings,006/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,188
Kings,006/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,255
Kings,006/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,28
Kings,006/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,13
Kings,006/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Kings,006/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,8
Kings,006/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,006/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
Kings,006/41,President,NYC,Scattered,,4
Kings,007/41,President,NYC,Manually Counted Emergency,,0
Kings,007/41,President,NYC,Absentee / Military,,16
Kings,007/41,President,NYC,Federal,,2
Kings,007/41,President,NYC,Special Presidential,,0
Kings,007/41,President,NYC,Affidavit,,14
Kings,007/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,237
Kings,007/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,259
Kings,007/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,21
Kings,007/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,10
Kings,007/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,13
Kings,007/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,007/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,2
Kings,007/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Kings,007/41,President,NYC,Scattered,,6
Kings,008/41,President,NYC,Manually Counted Emergency,,0
Kings,008/41,President,NYC,Absentee / Military,,22
Kings,008/41,President,NYC,Federal,,8
Kings,008/41,President,NYC,Special Presidential,,0
Kings,008/41,President,NYC,Affidavit,,18
Kings,008/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,185
Kings,008/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,338
Kings,008/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,15
