county,precinct,ballot-style,office,district,party,candidate,votes
Dallas,1000,6001,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,788
Dallas,1001,6002,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,717
Dallas,1002,6003,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1221
Dallas,1003,6004,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3302
Dallas,1004,6005,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1631
Dallas,1005,6006,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2271
Dallas,1006,6007,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1627
Dallas,1007,6008,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,399
Dallas,1008,6009,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,592
Dallas,1009,6010,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,931
Dallas,1010,6011,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1341
Dallas,1011,6012,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,834
Dallas,1012,6013,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,219
Dallas,1013,6014,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3602
Dallas,1014,6015,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2042
Dallas,1015,6016,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1749
Dallas,1016,6017,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,177
Dallas,1017,6018,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1184
Dallas,1018,6019,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,250
Dallas,1019,6020,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2365
Dallas,1020,6021,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1119
Dallas,1021,6022,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1572
Dallas,1022,6023,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3381
Dallas,1023,6024,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1901
Dallas,1026,6025,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,558
Dallas,1027,6026,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3693
Dallas,1028,6027,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1499
Dallas,1029,6028,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1710
Dallas,1030,6029,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2306
Dallas,1032,6030,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,738
Dallas,1033,6031,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1228
