precinct,gen_con_BRADLEY,gen_dem_KAINE,gen_grn_BARAKA,gen_ind_BAYES,gen_ind_JOHNSON,gen_ind_MONAHAN,gen_lib_WELD,gen_rep_PENCE,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
ARKANSAS_ALMYRA,1,8,0,0,2,2,3,96,5,0,1,0,0,0,1,2,0,25,0,0,1,0,0,0,21,0,14,112,64,6
ARKANSAS_ARKANSAS,0,15,0,0,0,0,1,24,9,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,9,40,19,9
ARKANSAS_BARTON,0,7,1,1,0,1,1,72,5,0,0,6,0,0,1,0,1,7,0,0,0,0,2,0,8,0,22,83,41,11
ARKANSAS_BAYOU METO,0,14,0,1,1,0,2,60,3,0,0,1,0,0,2,1,0,13,0,0,0,0,4,0,20,0,22,78,62,4
ARKANSAS_BREWER,0,2,0,1,0,0,0,12,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,15,9,4
ARKANSAS_CHESTER,0,15,1,2,0,0,3,72,5,0,0,2,0,0,0,2,0,5,0,0,0,0,1,0,22,0,18,93,48,7
ARKANSAS_CROCKETT,0,10,0,1,0,0,0,32,8,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,6,0,9,43,19,9
ARKANSAS_DEWITT WARD 1,2,133,3,6,7,0,3,64,55,0,0,5,0,0,1,2,1,6,1,0,5,0,0,0,6,0,18,218,40,60
ARKANSAS_DEWITT WARD 2,1,73,1,6,1,2,9,224,27,1,0,3,0,0,3,7,1,36,1,1,9,0,0,0,38,0,78,317,174,31
ARKANSAS_DEWITT WARD 3,3,82,1,8,0,6,10,280,25,1,0,7,0,0,3,14,2,44,0,0,7,0,8,0,62,0,84,390,224,33
