precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_JOHNSON,gen_ind_STEIN,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
ALACHUA_1200101 FIRST BAPTIST CHURCH OF WALDO,357,2,0,28,5,637,131,8,104,3,3,0,76,0,0,0,0,12,2,35,0,163,1029,294,243
ALACHUA_1200102 LACROSSE TOWN HALL,668,2,0,29,18,839,237,10,149,5,4,2,110,0,0,0,0,7,0,64,0,152,1556,344,396
ALACHUA_1200103 ALACHUA RECREATION CENTER,1114,5,2,105,34,1711,258,39,278,6,7,0,190,3,0,1,2,51,4,150,2,354,2971,770,575
ALACHUA_1200104 NEWBERRY UNITED METHODIST CHURCH,687,7,1,75,11,1483,183,22,161,8,15,1,190,1,0,0,0,15,1,130,0,375,2264,736,366
ALACHUA_1200105 FIRST LUTHERAN CHURCH,1409,2,1,101,29,544,307,8,457,0,1,0,44,0,0,0,0,41,1,125,0,76,2086,288,772
ALACHUA_1200106 NEWBERRY MUNICIPAL BUILDING,762,12,2,65,13,1263,224,19,143,10,6,0,184,1,0,1,0,36,0,110,0,277,2117,625,386
ALACHUA_1200107 IGNITE LIFE CENTER,1253,1,2,54,50,259,191,5,427,0,1,1,11,0,0,0,0,10,0,35,0,49,1619,107,623
ALACHUA_1200108 HAWTHORNE CITY HALL,636,2,1,39,10,768,235,14,154,6,3,0,57,0,0,0,0,18,0,45,0,177,1456,306,403
ALACHUA_1200109 ISLAND GROVE BAPTIST CHURCH,117,0,0,11,2,279,32,7,48,2,1,1,16,0,0,0,0,3,0,13,0,77,409,113,87
ALACHUA_1200110 MICANOPY TOWN HALL,623,1,0,35,13,551,227,11,204,6,3,0,66,0,0,0,0,23,1,61,0,115,1223,275,442
ALACHUA_1200111 ARCHER COMMUNITY CENTER,1044,5,2,50,13,964,363,20,242,5,10,0,120,2,0,0,0,16,1,98,0,223,2078,475,625
ALACHUA_1200112 PARKVIEW BAPTIST CHURCH,1292,7,1,49,47,335,287,10,442,8,3,0,36,0,0,0,1,14,2,38,0,76,1731,178,739
ALACHUA_1200113 MT. CARMEL BAPTIST CHURCH,1472,3,0,4,10,58,534,4,152,3,0,0,3,0,0,0,0,1,0,6,0,8,1547,21,690
ALACHUA_1200114 ELIAM BAPTIST CHURCH,281,4,0,22,8,579,66,10,112,3,2,0,60,1,0,0,0,8,1,50,1,137,894,263,188
ALACHUA_1200115 WINDSOR BAPTIST CHURCH,263,1,0,22,3,371,70,6,68,1,2,0,61,0,0,0,0,5,2,29,0,69,660,169,144
ALACHUA_1200116 BESTWESTERN GATEWAY GRAND HOTEL,819,5,0,56,14,899,197,10,172,6,5,0,107,1,0,0,1,50,1,160,0,219,1793,550,379
ALACHUA_1200117 ELKS LODGE #990,1390,3,1,80,39,609,387,23,367,10,5,1,62,0,0,0,0,43,1,108,0,135,2122,365,777
ALACHUA_1200118 KANAPAHA PRESBYTERIAN CHURCH,1163,1,0,71,10,811,293,1,192,14,3,1,107,1,0,0,0,40,0,146,0,158,2056,470,486
ALACHUA_1200119 SPRINGHILL BAPTIST CHURCH,1038,2,0,25,25,100,254,1,297,1,0,0,7,0,0,0,0,6,0,16,0,23,1190,53,552
ALACHUA_1200120 HIGH SPRINGS CIVIC CENTER,913,3,4,64,23,1500,284,16,223,14,11,0,181,0,0,0,1,30,1,144,1,262,2507,645,523
ALACHUA_1200121 THE GREENHOUSE CHURCH,1235,9,2,77,33,837,275,11,380,4,6,0,102,3,1,0,1,26,3,124,0,174,2193,444,666
ALACHUA_1200122 FIRST CHURCH OF THE NAZARENE,1415,8,2,82,28,894,372,9,334,9,6,1,111,0,0,0,2,41,3,156,0,170,2429,499,715
ALACHUA_1200123 AMERICAN CANCER SOCIETY HOPE LODGE,872,3,1,39,21,306,137,5,239,4,3,0,25,0,0,0,0,18,4,60,0,50,1242,164,381
ALACHUA_1200124 GAINESVILLE BAPTIST CHURCH,1107,2,0,67,22,472,335,26,342,6,4,0,68,0,0,0,1,34,4,91,0,101,1670,309,703
ALACHUA_1200125 SFC CENTER FOR INNOV. & ECON. DEV.,1320,1,1,69,34,269,170,2,354,0,1,0,16,0,1,0,0,13,1,57,0,19,1694,108,526
ALACHUA_1200126 WESTSIDE RECREATION CENTER,935,1,1,44,17,319,254,3,281,1,1,0,28,1,0,0,1,31,2,76,0,63,1317,204,538
ALACHUA_1200127 THELMA BOLTIN ACTIVITY CENTER,2110,7,0,74,45,331,496,14,735,7,4,0,41,1,0,0,0,19,4,56,1,69,2567,202,1245
ALACHUA_1200128 MCPHERSON RECREATION CENTER,1829,0,1,17,16,159,651,6,252,3,2,0,17,0,0,1,0,4,1,14,0,28,2022,70,909
ALACHUA_1200129 HAILE MEETING HALL,1081,5,1,57,11,1024,311,10,196,12,3,0,112,0,0,0,0,73,2,203,0,229,2179,634,517
ALACHUA_1200130 GREATER BETHEL A.M.E. CHURCH,1545,4,2,22,20,288,466,5,237,0,1,1,26,0,0,0,0,4,0,32,1,34,1881,99,708
ALACHUA_1200131 J. WAYNE REITZ UNION,2554,4,2,156,39,943,151,2,500,2,2,0,48,0,0,0,0,39,3,210,0,51,3698,355,653
ALACHUA_1200132 LIFESOUTH COMMUNITY BLOOD CENTERS,1653,6,4,122,56,691,298,9,553,9,3,0,91,0,0,0,1,33,3,113,0,121,2532,374,860
ALACHUA_1200134 FAIRBANKS BAPTIST CHURCH,399,1,0,16,7,517,105,8,73,3,0,0,23,0,0,0,0,4,0,39,0,91,940,160,186
ALACHUA_1200135 SOUTHWEST UNITED METHODIST CHURCH,666,1,0,31,9,531,187,14,151,10,3,0,54,0,0,0,1,31,0,88,0,124,1238,311,352
ALACHUA_1200136 DOYLE CONNER BUILDING,1577,3,3,99,42,525,120,5,343,1,1,0,41,0,0,0,0,16,2,92,0,48,2249,201,468
ALACHUA_1200137 UNITARIAN UNIVERSALIST FELLOWSHIP,1005,2,0,49,19,682,302,12,281,5,7,0,70,1,0,0,1,33,1,105,0,176,1757,399,595
ALACHUA_1200138 SENIOR RECREATION CENTER,1540,10,0,88,26,849,400,15,305,9,7,1,110,2,1,0,0,23,1,118,1,169,2513,442,720
ALACHUA_1200139 HILTON GARDEN INN,1484,4,3,70,34,459,109,1,290,3,0,0,19,1,0,0,0,8,1,58,0,59,2054,149,400
ALACHUA_1200140 UNIVERSITY CITY CHURCH OF CHRIST,1009,4,0,60,16,687,341,22,267,14,7,0,71,0,0,0,0,68,1,181,0,152,1776,494,630
ALACHUA_1200141 OAK DALE BAPTIST CHURCH,868,4,1,65,10,1017,237,18,179,8,7,1,145,0,0,0,1,47,1,154,1,227,1965,592,434
ALACHUA_1200142 TOWER ROAD BRANCH LIBRARY,1187,4,1,80,8,983,297,4,246,3,3,1,141,0,0,0,0,63,0,221,0,241,2263,673,547
ALACHUA_1200143 GRACE UNITED METHODIST CHURCH,1400,4,4,74,27,705,268,11,240,7,6,1,66,0,0,0,0,18,1,112,0,147,2214,358,519
ALACHUA_1200144 PHILLIPS CENTER FOR THE PERF. ARTS,3176,11,2,177,49,762,233,3,735,3,8,1,53,0,0,0,1,29,2,151,0,66,4177,314,971
ALACHUA_1200145 TRINITY UNITED METHODIST CHURCH,2392,5,2,144,41,1748,743,33,551,21,17,2,210,1,0,0,3,104,5,333,1,408,4332,1105,1327
ALACHUA_1200146 WESTSIDE BAPTIST CHURCH,1448,6,4,76,20,1346,367,10,263,10,7,1,146,1,2,0,2,55,0,307,0,282,2900,813,640
ALACHUA_1200147 THE FAMILY CHURCH,1364,5,1,77,10,1227,338,12,219,14,6,0,142,1,0,1,1,102,0,257,0,270,2684,794,569
ALACHUA_1200148 FREEDOM COMM. CENTER AT KANAPAHA,1131,5,1,80,43,658,190,4,239,4,5,0,55,0,0,0,1,13,1,66,0,106,1918,251,433
ALACHUA_1200149 FIRST BAPTIST CHURCH,779,5,1,47,10,1038,208,18,194,9,3,1,134,0,0,0,0,25,6,132,0,247,1880,557,420
ALACHUA_1200150 WESTMINSTER PRESBYTERIAN CHURCH,969,5,1,50,21,456,350,12,321,4,0,0,47,0,0,1,0,52,1,119,0,73,1502,297,683
ALACHUA_1200151 FAITH PRESBYTERIAN CHURCH,1414,9,1,74,23,958,449,11,312,7,9,1,104,0,0,0,1,65,2,168,0,212,2479,569,772
ALACHUA_1200152 DAV STATE OFFICE,1002,2,0,38,22,313,170,5,148,1,0,0,33,0,0,0,1,12,0,45,1,42,1377,135,323
ALACHUA_1200153 HATHCOCK COMMUNITY CENTER,1085,10,4,27,35,956,323,14,240,8,4,0,98,0,0,1,0,23,1,69,1,196,2117,401,577
ALACHUA_1200154 FLORIDA MUSEUM OF NATURAL HISTORY,1775,6,4,104,47,562,246,4,457,17,6,0,50,0,1,0,1,41,0,133,0,59,2498,308,707
ALACHUA_1200155 CITY PUBLIC WORKS ADMIN. BLDG.,704,1,1,16,12,126,182,2,101,1,0,0,14,0,0,1,0,2,0,11,0,18,860,47,285
ALACHUA_1200156 COVENANT PRESBYTERIAN CHURCH,1121,1,0,86,19,942,243,15,233,8,4,0,120,0,0,0,1,37,2,172,0,202,2169,546,491
ALACHUA_1200157 Z.L. SUNG 7TH-DAY ADVENTIST SCHOOL,1282,6,3,69,38,658,318,16,363,4,3,0,78,0,0,0,1,23,3,99,2,111,2056,324,697
ALACHUA_1200158 GAINESVILLE SHRINE CLUB,1900,9,3,134,29,1447,471,10,341,12,9,1,203,0,0,0,0,53,2,226,2,286,3522,794,822
ALACHUA_1200159 PARAMOUNT PLAZA HOTEL,2899,6,4,176,75,1198,292,3,709,1,3,0,71,0,0,0,0,53,5,202,1,81,4358,417,1004
ALACHUA_1200160 FELLOWSHIP CHURCH OF HIGH SPRINGS,618,5,2,58,16,1827,175,16,177,6,15,0,247,2,0,0,0,44,1,182,0,371,2526,868,368
ALACHUA_1200161 THE ATRIUM,1145,1,3,44,19,607,447,21,301,7,6,1,69,1,0,1,1,33,4,129,0,155,1819,407,769
ALACHUA_1200162 NORTH CENTRAL BAPTIST CHURCH,1159,3,0,59,25,594,283,11,217,11,10,2,71,0,0,0,0,34,2,120,0,118,1840,368,511
