precinct_code,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Baker-410011,0.0,0.0,0.0,0.0,63.0,102.0,0.0,44.0,216.0,0.0,260.0,165.0
Baker-4100111,222.0,18.0,44.0,565.0,0.0,0.0,0.0,0.0,0.0,849.0,0.0,0.0
Baker-4100112,209.0,17.0,47.0,520.0,0.0,0.0,0.0,0.0,0.0,793.0,0.0,0.0
Baker-4100113,295.0,24.0,56.0,1179.0,20.0,37.0,74.0,44.0,242.0,1554.0,360.0,57.0
Baker-4100114,226.0,24.0,53.0,822.0,0.0,2.0,10.0,0.0,37.0,1125.0,47.0,2.0
Baker-4100115,289.0,18.0,72.0,1150.0,26.0,33.0,29.0,26.0,118.0,1529.0,173.0,59.0
Baker-4100117,94.0,6.0,43.0,406.0,22.0,28.0,52.0,59.0,153.0,549.0,264.0,50.0
Baker-4100118,4.0,2.0,2.0,69.0,2.0,1.0,7.0,2.0,36.0,77.0,45.0,3.0
Baker-4100119,46.0,4.0,19.0,170.0,22.0,13.0,3.0,2.0,48.0,239.0,53.0,35.0
Baker-410012,0.0,0.0,0.0,0.0,58.0,74.0,70.0,45.0,156.0,0.0,271.0,132.0
Baker-4100120,13.0,0.0,4.0,38.0,6.0,3.0,1.0,4.0,12.0,55.0,17.0,9.0
Baker-4100121,14.0,4.0,10.0,130.0,2.0,15.0,18.0,6.0,58.0,158.0,82.0,17.0
Baker-4100122,163.0,9.0,23.0,370.0,42.0,70.0,27.0,41.0,114.0,565.0,182.0,112.0
Baker-4100124,161.0,4.0,27.0,513.0,46.0,50.0,68.0,62.0,218.0,705.0,348.0,96.0
Baker-4100125,55.0,3.0,12.0,208.0,15.0,15.0,14.0,14.0,85.0,278.0,113.0,30.0
Baker-4100126,6.0,1.0,1.0,78.0,1.0,2.0,2.0,2.0,52.0,86.0,56.0,3.0
Baker-410013,0.0,0.0,0.0,0.0,45.0,92.0,56.0,30.0,220.0,0.0,306.0,137.0
Baker-410014,0.0,0.0,0.0,0.0,68.0,93.0,88.0,36.0,284.0,0.0,408.0,161.0
Baker-410015,0.0,0.0,0.0,0.0,56.0,118.0,94.0,54.0,297.0,0.0,445.0,174.0
Benton-4100301,2311.0,88.0,197.0,0.0,0.0,817.0,93.0,164.0,244.0,2596.0,501.0,817.0
Benton-4100302,1737.0,122.0,164.0,326.0,252.0,918.0,35.0,32.0,62.0,2349.0,129.0,1170.0
Benton-4100303,2147.0,160.0,199.0,617.0,411.0,1086.0,68.0,71.0,197.0,3123.0,336.0,1497.0
Benton-4100304,1772.0,77.0,176.0,419.0,223.0,575.0,16.0,44.0,54.0,2444.0,114.0,798.0
Benton-4100305,1781.0,96.0,144.0,291.0,276.0,931.0,17.0,35.0,81.0,2312.0,133.0,1207.0
Benton-4100306,2151.0,150.0,143.0,531.0,489.0,961.0,51.0,84.0,166.0,2975.0,301.0,1450.0
Benton-4100307,2963.0,129.0,170.0,516.0,918.0,1192.0,72.0,138.0,175.0,3778.0,385.0,2110.0
Benton-4100308,2809.0,83.0,156.0,782.0,946.0,790.0,107.0,206.0,264.0,3830.0,577.0,1736.0
Benton-4100309,1917.0,123.0,190.0,752.0,484.0,794.0,93.0,109.0,262.0,2982.0,464.0,1278.0
Benton-4100310,1174.0,83.0,196.0,872.0,267.0,535.0,98.0,101.0,228.0,2325.0,427.0,802.0
Benton-4100312,193.0,17.0,28.0,173.0,27.0,90.0,30.0,19.0,47.0,411.0,96.0,117.0
Benton-4100313,87.0,9.0,11.0,157.0,43.0,23.0,9.0,7.0,48.0,264.0,64.0,66.0
Benton-4100314,165.0,25.0,21.0,306.0,37.0,96.0,41.0,10.0,74.0,517.0,125.0,133.0
Benton-4100315,1064.0,63.0,132.0,1025.0,300.0,516.0,88.0,73.0,337.0,2284.0,498.0,816.0
Benton-4100316,1699.0,102.0,128.0,795.0,580.0,653.0,94.0,147.0,281.0,2724.0,522.0,1233.0
Benton-4100317,861.0,36.0,61.0,344.0,253.0,315.0,65.0,57.0,116.0,1302.0,238.0,568.0
Benton-4100318,491.0,20.0,84.0,740.0,162.0,189.0,89.0,84.0,216.0,1335.0,389.0,351.0
Benton-4100319,519.0,25.0,61.0,424.0,141.0,243.0,59.0,41.0,137.0,1029.0,237.0,384.0
Benton-4100320,492.0,39.0,79.0,788.0,174.0,201.0,69.0,42.0,255.0,1398.0,366.0,375.0
Benton-4100321,167.0,10.0,20.0,144.0,59.0,61.0,16.0,7.0,52.0,341.0,75.0,120.0
Benton-4100322,243.0,4.0,19.0,182.0,68.0,96.0,13.0,25.0,55.0,448.0,93.0,164.0
Benton-4100323,306.0,27.0,30.0,237.0,74.0,125.0,18.0,18.0,71.0,600.0,107.0,199.0
Benton-4100324,1214.0,67.0,176.0,1230.0,355.0,405.0,105.0,144.0,471.0,2687.0,720.0,760.0
Benton-4100325,930.0,40.0,107.0,1007.0,281.0,310.0,101.0,119.0,341.0,2084.0,561.0,591.0
Clackamas-410051,1663.0,78.0,203.0,0.0,471.0,594.0,0.0,83.0,387.0,1944.0,470.0,1065.0
Clackamas-4100510,4.0,0.0,2.0,17.0,0.0,1.0,2.0,0.0,6.0,23.0,8.0,1.0
Clackamas-41005100,161.0,3.0,12.0,176.0,40.0,21.0,10.0,16.0,65.0,352.0,91.0,61.0
Clackamas-41005101,2450.0,65.0,245.0,1931.0,524.0,541.0,141.0,124.0,473.0,4691.0,738.0,1065.0
Clackamas-41005102,240.0,9.0,15.0,162.0,31.0,47.0,6.0,10.0,28.0,426.0,44.0,78.0
Clackamas-41005103,1402.0,44.0,147.0,1276.0,375.0,316.0,117.0,110.0,401.0,2869.0,628.0,691.0
Clackamas-41005104,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0
Clackamas-41005105,453.0,13.0,56.0,389.0,121.0,120.0,47.0,43.0,115.0,911.0,205.0,241.0
Clackamas-41005106,510.0,20.0,81.0,793.0,115.0,215.0,55.0,26.0,219.0,1404.0,300.0,330.0
Clackamas-41005107,915.0,48.0,144.0,1327.0,204.0,347.0,108.0,57.0,321.0,2434.0,486.0,551.0
Clackamas-41005108,818.0,55.0,144.0,1207.0,209.0,275.0,80.0,42.0,272.0,2224.0,394.0,484.0
Clackamas-41005111,1005.0,66.0,281.0,2121.0,245.0,340.0,152.0,60.0,567.0,3473.0,779.0,585.0
Clackamas-41005122,1136.0,53.0,145.0,1369.0,268.0,347.0,151.0,94.0,407.0,2703.0,652.0,615.0
Clackamas-41005124,870.0,32.0,118.0,1062.0,255.0,270.0,98.0,115.0,296.0,2082.0,509.0,525.0
Clackamas-41005125,1206.0,36.0,186.0,1515.0,327.0,345.0,164.0,128.0,475.0,2943.0,767.0,672.0
Clackamas-41005130,1358.0,48.0,115.0,935.0,382.0,318.0,83.0,102.0,287.0,2456.0,472.0,700.0
Clackamas-41005131,1476.0,30.0,154.0,991.0,388.0,386.0,64.0,117.0,312.0,2651.0,493.0,774.0
Clackamas-41005132,1257.0,35.0,111.0,713.0,344.0,292.0,41.0,90.0,233.0,2116.0,364.0,636.0
Clackamas-41005133,2030.0,51.0,189.0,1042.0,580.0,597.0,87.0,175.0,348.0,3312.0,610.0,1177.0
Clackamas-41005134,1413.0,29.0,108.0,659.0,444.0,398.0,51.0,100.0,215.0,2209.0,366.0,842.0
Clackamas-41005135,1467.0,34.0,143.0,779.0,422.0,342.0,73.0,135.0,262.0,2423.0,470.0,764.0
Clackamas-41005151,1639.0,37.0,124.0,635.0,564.0,357.0,32.0,150.0,242.0,2435.0,424.0,921.0
Clackamas-41005152,1775.0,47.0,112.0,723.0,568.0,445.0,54.0,152.0,285.0,2657.0,491.0,1013.0
Clackamas-41005153,1584.0,33.0,135.0,627.0,430.0,324.0,27.0,165.0,208.0,2379.0,400.0,754.0
Clackamas-41005154,442.0,3.0,19.0,209.0,183.0,56.0,12.0,71.0,88.0,673.0,171.0,239.0
Clackamas-41005155,1861.0,31.0,132.0,866.0,507.0,409.0,40.0,193.0,321.0,2890.0,554.0,916.0
Clackamas-41005156,1881.0,33.0,121.0,924.0,534.0,430.0,59.0,207.0,309.0,2959.0,575.0,964.0
Clackamas-41005157,1424.0,29.0,82.0,628.0,446.0,303.0,47.0,135.0,233.0,2163.0,415.0,749.0
Clackamas-41005158,1117.0,20.0,114.0,545.0,285.0,243.0,37.0,84.0,182.0,1796.0,303.0,528.0
Clackamas-41005159,2327.0,55.0,115.0,888.0,678.0,541.0,78.0,165.0,309.0,3385.0,552.0,1219.0
Clackamas-41005160,217.0,9.0,21.0,116.0,63.0,35.0,12.0,30.0,36.0,363.0,78.0,98.0
Clackamas-410052,1400.0,80.0,160.0,1145.0,310.0,561.0,88.0,54.0,326.0,2785.0,468.0,871.0
Clackamas-41005201,1455.0,58.0,130.0,961.0,319.0,372.0,91.0,104.0,229.0,2604.0,424.0,691.0
Clackamas-41005202,1940.0,87.0,246.0,1423.0,402.0,572.0,117.0,148.0,405.0,3696.0,670.0,974.0
Clackamas-41005203,1013.0,13.0,65.0,956.0,402.0,175.0,84.0,195.0,449.0,2047.0,728.0,577.0
Clackamas-41005204,1077.0,31.0,178.0,848.0,243.0,283.0,69.0,107.0,271.0,2134.0,447.0,526.0
Clackamas-41005251,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0
Clackamas-41005252,894.0,21.0,106.0,581.0,246.0,192.0,57.0,108.0,190.0,1602.0,355.0,438.0
Clackamas-41005280,790.0,18.0,70.0,371.0,214.0,242.0,29.0,55.0,116.0,1249.0,200.0,456.0
Clackamas-41005281,890.0,33.0,61.0,387.0,252.0,250.0,23.0,63.0,115.0,1371.0,201.0,502.0
Clackamas-41005282,236.0,14.0,21.0,131.0,65.0,63.0,7.0,17.0,51.0,402.0,75.0,128.0
Clackamas-41005283,292.0,6.0,22.0,126.0,98.0,60.0,10.0,33.0,70.0,446.0,113.0,158.0
Clackamas-410053,954.0,51.0,111.0,879.0,264.0,366.0,90.0,57.0,233.0,1995.0,380.0,630.0
Clackamas-4100531,927.0,36.0,121.0,783.0,237.0,321.0,68.0,42.0,194.0,1867.0,304.0,558.0
Clackamas-4100532,992.0,66.0,121.0,778.0,266.0,346.0,55.0,61.0,197.0,1957.0,313.0,612.0
Clackamas-41005320,594.0,15.0,58.0,414.0,182.0,153.0,52.0,92.0,149.0,1081.0,293.0,335.0
Clackamas-41005321,635.0,18.0,84.0,755.0,175.0,145.0,59.0,89.0,290.0,1492.0,438.0,320.0
Clackamas-41005322,464.0,13.0,61.0,507.0,147.0,113.0,45.0,67.0,195.0,1045.0,307.0,260.0
Clackamas-41005323,630.0,16.0,60.0,686.0,190.0,158.0,69.0,64.0,254.0,1392.0,387.0,348.0
Clackamas-4100533,980.0,20.0,111.0,782.0,271.0,338.0,59.0,77.0,216.0,1893.0,352.0,609.0
Clackamas-41005330,835.0,39.0,152.0,1603.0,229.0,279.0,171.0,110.0,454.0,2629.0,735.0,508.0
Clackamas-41005331,255.0,7.0,28.0,310.0,53.0,69.0,19.0,30.0,111.0,600.0,160.0,122.0
Clackamas-41005332,88.0,3.0,16.0,130.0,26.0,22.0,23.0,12.0,48.0,237.0,83.0,48.0
Clackamas-41005333,477.0,13.0,61.0,784.0,156.0,146.0,79.0,64.0,268.0,1335.0,411.0,302.0
Clackamas-41005350,472.0,31.0,101.0,1072.0,123.0,202.0,77.0,37.0,299.0,1676.0,413.0,325.0
Clackamas-41005351,748.0,49.0,147.0,1945.0,200.0,334.0,155.0,86.0,556.0,2889.0,797.0,534.0
Clackamas-41005352,475.0,32.0,90.0,1207.0,147.0,198.0,83.0,50.0,400.0,1804.0,533.0,345.0
Clackamas-41005360,784.0,42.0,95.0,1251.0,227.0,283.0,87.0,49.0,369.0,2172.0,505.0,510.0
Clackamas-41005361,10.0,2.0,2.0,27.0,1.0,7.0,1.0,0.0,3.0,41.0,4.0,8.0
Clackamas-41005362,431.0,18.0,49.0,753.0,137.0,147.0,41.0,28.0,249.0,1251.0,318.0,284.0
Clackamas-41005363,145.0,6.0,24.0,300.0,38.0,84.0,24.0,14.0,85.0,475.0,123.0,122.0
Clackamas-41005364,266.0,9.0,31.0,392.0,68.0,92.0,41.0,16.0,92.0,698.0,149.0,160.0
