State,Year,Position,Count,Phase,Flag
Alabama,2000,Overall,1665573,General,
Alabama,2000,Overall,489573,Primary,
Alabama,2000,President,1665573,General,
Alabama,2002,Attorney General,1326304,General,
Alabama,2002,Governor,1367053,General,
Alabama,2002,Overall,1367053,General,
Alabama,2002,Overall,411245,Primary,
Alabama,2002,Senate,1353023,General,
Alabama,2002,Secretary of State,1290280,General,
Alabama,2004,Overall,1883415,General,
Alabama,2004,Overall,429140,Primary,
Alabama,2004,President,1883415,General,
Alabama,2004,Senate,1839066,General,
Alabama,2006,Attorney General,1231096,General,
Alabama,2006,Governor,1250401,General,
Alabama,2006,Overall,1250401,General,
Alabama,2006,Overall,926556,Primary,
Alabama,2006,Secretary of State,1204136,General,
Alabama,2008,Overall,2096114,General,
Alabama,2008,Overall,1088835,Primary,Presidential Primary
Alabama,2008,President,2096114,General,
Alabama,2008,Senate,2060191,General,
Alabama,2010,Attorney General,1476075,General,
Alabama,2010,Governor,1486182,General,
Alabama,2010,Overall,1503232,General,
Alabama,2010,Overall,811227,Primary,
Alabama,2010,Senate,1485499,General,
Alabama,2010,Secretary of State,1451133,General,
Alabama,2012,Overall,2074338,General,
Alabama,2012,Overall,644546,Primary,
Alabama,2012,President,2070353,General,
Alabama,2014,Attorney General,1167901,General,
Alabama,2014,Governor,1180413,General,
Alabama,2014,Overall,1191274,General,
Alabama,2014,Overall,615183,Primary,
Alabama,2014,Senate,818090,General,
Alabama,2014,Secretary of State,1140942,General,
Alabama,2016,Overall,2137482,General,
Alabama,2016,Overall,1269751,Primary,
Alabama,2016,President,2132372,General,
Alabama,2016,Senate,2087444,General,
Alabama,2017,Senate,1348720,General,
Alabama,2018,Attorney General,1708437,General,
Alabama,2018,Governor,1719589,General,
Alabama,2018,Overall,1725877,General,
Alabama,2018,Overall,864306,Primary,
Alabama,2018,Secretary of State,1692026,General,
Alabama,2020,Overall,2329114,General,
Alabama,2020,Overall,1176315,Primary,
Alabama,2020,President,2323282,General,
Alabama,2020,Senate,2316445,General,
Alabama,2022,Attorney General,1407188,General,
Alabama,2022,Governor,1415283,General,
Alabama,2022,Overall,1419718,General,
Alabama,2022,Overall,849733,Primary,
Alabama,2022,Senate,1414238,General,
Alabama,2022,Secretary of State,1404403,General,
Alaska,2000,Overall,287825,General,
Alaska,2000,Overall,78693,Primary,Statewide Primary
Alaska,2000,President,285560,General,
Alaska,2002,Governor,231484,General,
Alaska,2002,Overall,232852,General,
Alaska,2002,Overall,105737,Primary,
Alaska,2002,Senate,229548,General,
