county,precinct,office,district,candidate,party,votes,vtd
Allen,Carlyle Township,State House,9,"McMurray, Patrick",Libertarian,21,000010
Allen,Carlyle Township,State House,9,"Thompson, Kent L.",Republican,133,000010
Allen,Cottage Grove Township,State House,9,"McMurray, Patrick",Libertarian,17,000020
Allen,Cottage Grove Township,State House,9,"Thompson, Kent L.",Republican,111,000020
Allen,Deer Creek Township,State House,9,"McMurray, Patrick",Libertarian,13,000030
Allen,Deer Creek Township,State House,9,"Thompson, Kent L.",Republican,49,000030
Allen,East Elm,State House,9,"McMurray, Patrick",Libertarian,46,000040
Allen,East Elm,State House,9,"Thompson, Kent L.",Republican,225,000040
Allen,Geneva Township,State House,9,"McMurray, Patrick",Libertarian,13,000050
Allen,Geneva Township,State House,9,"Thompson, Kent L.",Republican,44,000050
Allen,Humboldt Township,State House,9,"McMurray, Patrick",Libertarian,19,00006A
Allen,Humboldt Township,State House,9,"Thompson, Kent L.",Republican,113,00006A
Allen,Humboldt Township Rural Enclave,State House,9,"McMurray, Patrick",Libertarian,0,00006B
Allen,Humboldt Township Rural Enclave,State House,9,"Thompson, Kent L.",Republican,0,00006B
Allen,Humboldt Township Split,State House,9,"McMurray, Patrick",Libertarian,0,00006C
Allen,Humboldt Township Split,State House,9,"Thompson, Kent L.",Republican,0,00006C
Allen,Humboldt Ward 1,State House,9,"McMurray, Patrick",Libertarian,90,000070
Allen,Humboldt Ward 1,State House,9,"Thompson, Kent L.",Republican,256,000070
Allen,Humboldt Ward 2,State House,9,"McMurray, Patrick",Libertarian,77,000080
Allen,Humboldt Ward 2,State House,9,"Thompson, Kent L.",Republican,327,000080
Allen,Iola Ward 1,State House,9,"McMurray, Patrick",Libertarian,89,000090
Allen,Iola Ward 1,State House,9,"Thompson, Kent L.",Republican,368,000090
Allen,Iola Ward 2,State House,9,"McMurray, Patrick",Libertarian,90,00010A
Allen,Iola Ward 2,State House,9,"Thompson, Kent L.",Republican,471,00010A
Allen,Iola Ward 2 Exclave,State House,9,"McMurray, Patrick",Libertarian,0,00010B
Allen,Iola Ward 2 Exclave,State House,9,"Thompson, Kent L.",Republican,0,00010B
Allen,Iola Ward 3,State House,9,"McMurray, Patrick",Libertarian,121,000110
Allen,Iola Ward 3,State House,9,"Thompson, Kent L.",Republican,381,000110
Allen,Iola Ward 4,State House,9,"McMurray, Patrick",Libertarian,117,000120
Allen,Iola Ward 4,State House,9,"Thompson, Kent L.",Republican,396,000120
Allen,Marmaton Township,State House,2,"Lusker, Adam J. Sr.",Democratic,253,000140
Allen,North Elsmore,State House,2,"Lusker, Adam J. Sr.",Democratic,52,000150
Allen,North Iola Part A,State House,9,"McMurray, Patrick",Libertarian,25,00016A
Allen,North Iola Part A,State House,9,"Thompson, Kent L.",Republican,110,00016A
Allen,North Iola Part A Rural Enclave,State House,9,"McMurray, Patrick",Libertarian,0,00016B
Allen,North Iola Part A Rural Enclave,State House,9,"Thompson, Kent L.",Republican,0,00016B
Allen,North Iola Part B,State House,9,"McMurray, Patrick",Libertarian,0,00016C
Allen,North Iola Part B,State House,9,"Thompson, Kent L.",Republican,0,00016C
Allen,Osage Township,State House,2,"Lusker, Adam J. Sr.",Democratic,81,000170
Allen,Salem Township,State House,9,"McMurray, Patrick",Libertarian,21,000180
Allen,Salem Township,State House,9,"Thompson, Kent L.",Republican,106,000180
Allen,South Elsmore,State House,2,"Lusker, Adam J. Sr.",Democratic,42,000190
Allen,South Iola,State House,9,"McMurray, Patrick",Libertarian,40,00020A
Allen,South Iola,State House,9,"Thompson, Kent L.",Republican,232,00020A
Allen,South Iola Enclave,State House,9,"McMurray, Patrick",Libertarian,0,00020B
Allen,South Iola Enclave,State House,9,"Thompson, Kent L.",Republican,0,00020B
Allen,West Elm,State House,9,"McMurray, Patrick",Libertarian,102,000210
Allen,West Elm,State House,9,"Thompson, Kent L.",Republican,397,000210
Allen,Logan Township S12,State House,9,"McMurray, Patrick",Libertarian,33,120020
Allen,Logan Township S12,State House,9,"Thompson, Kent L.",Republican,75,120020
Allen,Logan Township S15,State House,9,"McMurray, Patrick",Libertarian,0,120030
Allen,Logan Township S15,State House,9,"Thompson, Kent L.",Republican,0,120030
Allen,Carlyle Township,State Senate,12,"Johnston, Christopher B.",Democratic,20,000010
Allen,Carlyle Township,State Senate,12,"Tyson, Caryn",Republican,108,000010
Allen,Cottage Grove Township,State Senate,12,"Johnston, Christopher B.",Democratic,21,000020
Allen,Cottage Grove Township,State Senate,12,"Tyson, Caryn",Republican,104,000020
