Election Type,Name Raw,Office,Party,State Name,County,Precinct,State Fip,CountyFIPS 3,Jurisdiction,Votes
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119223.1,37,119,223.1,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119203,37,119,203,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119201,37,119,201,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119206,37,119,206,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119220,37,119,220,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119007,37,119,007,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119037,37,119,037,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119038,37,119,038,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119032,37,119,032,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119107.1,37,119,107.1,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119060,37,119,060,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119055,37,119,055,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119057,37,119,057,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119052,37,119,052,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119240,37,119,240,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119214,37,119,214,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119212,37,119,212,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119215,37,119,215,1
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119065,37,119,065,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119068,37,119,068,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119085,37,119,085,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119021,37,119,021,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119018,37,119,018,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119004,37,119,004,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119005,37,119,005,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119047,37,119,047,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119027,37,119,027,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119079,37,119,079,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119076,37,119,076,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119099,37,119,099,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119113,37,119,113,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119116,37,119,116,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119128,37,119,128,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119123,37,119,123,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119243,37,119,243,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119117,37,119,117,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119111,37,119,111,0
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119208,37,119,208,1
primary,Steven Elliott (Steve) Kerbel,US PRESIDENT (LIB),LIB,North Carolina,Mecklenburg,37119030,37,119,030,0
