county,precinct,ballot_style,office,district,party,candidate,votes
Dallas,1000,5100,Registered Voters,,,Registered Voters,879
Dallas,1001,5102,Registered Voters,,,Registered Voters,819
Dallas,1002,5103,Registered Voters,,,Registered Voters,1316
Dallas,1003,5104,Registered Voters,,,Registered Voters,3569
Dallas,1004,5106,Registered Voters,,,Registered Voters,1721
Dallas,1005,5107,Registered Voters,,,Registered Voters,2432
Dallas,1006,5109,Registered Voters,,,Registered Voters,1654
Dallas,1007,5110,Registered Voters,,,Registered Voters,397
Dallas,1008,5111,Registered Voters,,,Registered Voters,755
Dallas,1009,5115,Registered Voters,,,Registered Voters,1045
Dallas,1010,5116,Registered Voters,,,Registered Voters,1728
Dallas,1011,5117,Registered Voters,,,Registered Voters,918
Dallas,1012,5118,Registered Voters,,,Registered Voters,245
Dallas,1013,5120,Registered Voters,,,Registered Voters,4095
Dallas,1014,5122,Registered Voters,,,Registered Voters,2403
Dallas,1015,5125,Registered Voters,,,Registered Voters,2136
Dallas,1016,5129,Registered Voters,,,Registered Voters,221
Dallas,1017,5130,Registered Voters,,,Registered Voters,1227
Dallas,1018,5131,Registered Voters,,,Registered Voters,258
Dallas,1019,5133,Registered Voters,,,Registered Voters,2585
Dallas,1020,5134,Registered Voters,,,Registered Voters,1302
Dallas,1021,5135,Registered Voters,,,Registered Voters,1695
Dallas,1022,5137,Registered Voters,,,Registered Voters,3758
Dallas,1023,5139,Registered Voters,,,Registered Voters,2012
Dallas,1026,5141,Registered Voters,,,Registered Voters,616
Dallas,1027,5142,Registered Voters,,,Registered Voters,3901
Dallas,1028,5143,Registered Voters,,,Registered Voters,1604
Dallas,1029,5144,Registered Voters,,,Registered Voters,1878
Dallas,1030,5148,Registered Voters,,,Registered Voters,2495
Dallas,1032,5149,Registered Voters,,,Registered Voters,792
Dallas,1033,5150,Registered Voters,,,Registered Voters,1293
Dallas,1035,5151,Registered Voters,,,Registered Voters,256
Dallas,1036,5152,Registered Voters,,,Registered Voters,804
Dallas,1037,5153,Registered Voters,,,Registered Voters,1619
Dallas,1038,5154,Registered Voters,,,Registered Voters,2927
Dallas,1039,5156,Registered Voters,,,Registered Voters,324
Dallas,1040,5157,Registered Voters,,,Registered Voters,3113
Dallas,1041,5158,Registered Voters,,,Registered Voters,1044
Dallas,1042,5159,Registered Voters,,,Registered Voters,1582
Dallas,1043,5160,Registered Voters,,,Registered Voters,2272
Dallas,1044,5161,Registered Voters,,,Registered Voters,2257
Dallas,1045,5162,Registered Voters,,,Registered Voters,2108
Dallas,1046,5164,Registered Voters,,,Registered Voters,325
Dallas,1047,5165,Registered Voters,,,Registered Voters,1314
Dallas,1048,5166,Registered Voters,,,Registered Voters,2570
Dallas,1049,5167,Registered Voters,,,Registered Voters,2187
Dallas,1050,5170,Registered Voters,,,Registered Voters,149
Dallas,1051,5171,Registered Voters,,,Registered Voters,224
Dallas,1052,5172,Registered Voters,,,Registered Voters,3399
Dallas,1054,5173,Registered Voters,,,Registered Voters,1573
Dallas,1055,5174,Registered Voters,,,Registered Voters,884
Dallas,1056,5175,Registered Voters,,,Registered Voters,972
Dallas,1057,5176,Registered Voters,,,Registered Voters,1909
Dallas,1058,5177,Registered Voters,,,Registered Voters,1956
Dallas,1059,5178,Registered Voters,,,Registered Voters,1643
Dallas,1060,5179,Registered Voters,,,Registered Voters,4084
Dallas,1000,5100,Ballots Cast,,,Ballots Cast,341
Dallas,1001,5102,Ballots Cast,,,Ballots Cast,390
Dallas,1002,5103,Ballots Cast,,,Ballots Cast,582
Dallas,1003,5104,Ballots Cast,,,Ballots Cast,1924
Dallas,1004,5106,Ballots Cast,,,Ballots Cast,1176
Dallas,1005,5107,Ballots Cast,,,Ballots Cast,1588
Dallas,1006,5109,Ballots Cast,,,Ballots Cast,1302
