precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_WRITE-INS,gen_lib_JOHNSON,gen_rep_TRUMP,gen_rep_VOTES,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_PLEDGE,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_UNCOMMITTED,pri_rep_VOTES,gen_total,rep_pri_total,dem_pri_total
AUTAUGA_10 JONES COMMUNITY CTR,135,1,4,0,218,0,67,0,0,9,0,14,0,25,0,1,6,2,0,0,14,0,75,2,2,358,141,76
AUTAUGA_100 TRINITY METHODIST,285,8,15,60,1801,16,64,1,0,36,3,228,0,291,1,0,0,43,5,0,205,1,572,12,9,2185,1370,101
AUTAUGA_110 CENTRAL AL ELECTRIC,203,0,1,2,120,6,120,1,0,6,1,10,0,16,0,0,0,4,0,0,8,0,46,1,3,332,89,127
AUTAUGA_140 AUTAUGAVILLE VFD,406,0,4,6,312,7,223,1,0,15,4,30,0,49,0,0,0,9,0,0,25,0,103,4,6,735,230,239
AUTAUGA_150 PRATTMONT BAPTIST CH,287,8,13,43,824,8,83,0,1,29,1,64,0,89,0,1,1,14,1,0,71,0,275,7,3,1183,527,113
AUTAUGA_170 CAMELLIA BAPTIST CH,418,4,11,42,1013,4,163,0,1,48,5,111,1,148,0,0,1,27,0,0,91,1,309,12,5,1492,711,212
AUTAUGA_180 OLD KINGSTON VFD,294,2,3,17,400,6,183,0,1,20,1,25,0,42,0,0,1,6,0,0,22,0,133,3,5,722,238,204
AUTAUGA_220 UPPER KINGSTON,228,2,16,22,931,9,77,0,0,25,4,97,0,144,0,0,0,23,0,0,92,0,296,12,4,1208,672,102
AUTAUGA_30 BILLINGSLEY GOVT_ BLDG,35,1,0,1,374,1,18,1,0,0,3,32,1,56,0,0,0,3,1,0,33,0,131,8,2,412,270,19
AUTAUGA_40 E_MEMORIAL CHRISTIAN,765,20,30,95,1998,12,253,0,0,76,6,206,1,314,3,0,4,60,4,0,294,0,490,11,3,2920,1396,329
AUTAUGA_50 WHITE CITY VFD,138,2,2,9,356,1,66,1,0,5,0,29,0,76,0,0,0,1,0,0,33,0,97,2,2,508,240,72
