precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
KENT02-29,80,2,6,116
KENT04-29,421,13,22,461
KENT04-30,481,18,48,681
KENT05-28,413,12,26,330
KENT05-29,332,6,16,310
KENT05-31,704,19,48,410
KENT05-32,483,15,42,429
KENT05-33,480,16,42,631
KENT06-28,556,20,30,251
KENT06-29,817,23,52,477
KENT06-30,100,5,7,289
KENT06-34,230,11,21,249
KENT07-31,616,25,30,227
KENT07-32,662,26,45,360
KENT08-11,169,10,21,365
KENT08-28,107,5,16,243
KENT08-30,437,25,44,650
KENT08-31,366,9,24,139
KENT08-32,143,4,3,19
KENT09-30,295,16,30,580
KENT09-32,298,15,41,173
KENT09-33,704,21,59,637
KENT10-29,48,3,15,164
KENT10-32,262,5,13,117
KENT10-34,704,13,59,869
KENT11-29,106,5,11,179
KENT11-31,378,10,30,293
KENT12-28,65,0,1,84
KENT12-29,85,1,4,78
KENT12-30,172,7,24,540
KENT13-28,160,5,8,118
KENT14-28,245,2,10,225
NEW CASTLE01-25,590,26,30,158
NEW CASTLE01-26,617,15,48,396
NEW CASTLE02-18,560,15,35,251
NEW CASTLE02-24,749,18,42,363
NEW CASTLE02-26,605,10,19,189
NEW CASTLE03-01,763,4,1,19
NEW CASTLE03-05,655,13,15,141
NEW CASTLE03-06,185,4,13,109
NEW CASTLE03-07,670,11,44,414
NEW CASTLE03-10,566,11,32,461
NEW CASTLE03-12,512,18,44,328
NEW CASTLE03-15,930,24,27,413
NEW CASTLE03-17,915,24,25,276
NEW CASTLE03-18,442,11,23,173
NEW CASTLE03-21,664,25,52,607
NEW CASTLE03-22,598,14,43,522
NEW CASTLE04-04,421,11,14,98
NEW CASTLE04-15,506,16,36,306
NEW CASTLE04-23,927,33,54,432
NEW CASTLE04-24,428,13,18,138
NEW CASTLE04-25,486,11,46,404
NEW CASTLE04-26,800,12,44,351
NEW CASTLE04-27,722,22,50,477
NEW CASTLE05-03,71,2,1,3
NEW CASTLE05-04,157,5,5,19
NEW CASTLE05-05,807,13,20,109
NEW CASTLE05-18,547,14,38,359
NEW CASTLE05-22,829,24,77,807
NEW CASTLE05-24,783,26,53,450
NEW CASTLE06-03,592,7,3,27
NEW CASTLE06-06,423,10,12,105
NEW CASTLE06-10,645,10,57,540
NEW CASTLE06-13,733,24,56,507
NEW CASTLE06-15,809,14,50,246
NEW CASTLE06-21,766,22,52,466
NEW CASTLE06-23,749,15,62,513
NEW CASTLE06-25,707,10,55,381
NEW CASTLE06-27,617,15,21,231
NEW CASTLE07-09,223,4,24,272
NEW CASTLE07-13,234,11,13,144
NEW CASTLE07-15,671,12,24,436
NEW CASTLE07-18,416,12,24,272
NEW CASTLE07-25,677,23,44,496
NEW CASTLE07-26,932,21,54,401
NEW CASTLE08-02,564,11,4,15
NEW CASTLE08-06,936,37,71,602
NEW CASTLE08-08,624,20,30,491
NEW CASTLE08-10,696,17,32,184
NEW CASTLE08-16,1029,24,28,209
NEW CASTLE08-19,529,22,52,464
NEW CASTLE08-21,774,21,69,571
NEW CASTLE08-22,446,25,40,416
NEW CASTLE08-26,196,3,12,109
NEW CASTLE08-27,781,18,49,671
NEW CASTLE09-02,363,11,23,221
NEW CASTLE09-03,910,9,20,83
NEW CASTLE09-07,623,12,37,412
NEW CASTLE09-08,118,0,14,125
NEW CASTLE09-15,276,8,19,239
NEW CASTLE09-18,579,11,24,285
NEW CASTLE09-19,534,12,36,481
NEW CASTLE09-21,367,10,25,263
NEW CASTLE09-22,486,16,42,461
NEW CASTLE09-23,207,14,20,200
NEW CASTLE09-27,707,17,61,634
NEW CASTLE10-03,187,6,7,71
NEW CASTLE10-05,788,12,13,98
NEW CASTLE10-12,703,18,64,568
NEW CASTLE10-15,1102,14,43,288
NEW CASTLE10-16,709,11,37,297
NEW CASTLE10-17,534,9,27,224
NEW CASTLE10-18,373,7,28,145
NEW CASTLE10-24,539,23,50,295
NEW CASTLE11-01,529,8,13,66
NEW CASTLE11-04,601,21,49,373
NEW CASTLE11-13,333,4,14,126
NEW CASTLE11-22,814,14,44,579
NEW CASTLE12-12,497,16,52,513
NEW CASTLE12-13,4,0,0,0
NEW CASTLE12-19,542,9,23,181
NEW CASTLE12-22,384,18,36,419
NEW CASTLE13-01,589,12,20,107
NEW CASTLE13-04,130,1,10,50
NEW CASTLE13-13,86,4,3,26
NEW CASTLE14-04,143,3,3,65
NEW CASTLE14-13,0,0,0,0
NEW CASTLE16-04,84,1,4,22
