precinct,gen_con_COPELAND,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_MCMULLIN,gen_ind_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
ADAMSABSENTEE,1,128,1,2,14,6,21,348
BANNOCKABSENTEE L28,13,1706,31,8,391,32,128,2101
BANNOCKABSENTEE L29,20,2410,20,14,292,79,152,1840
BINGHAMABSENTEE 31,13,858,28,8,433,27,97,2165
BOISE90 ABSENTEE,6,230,5,1,24,9,32,486
CASSIA121 STARRH'S FERRY,0,69,4,1,64,1,8,487
CLEARWATER15 ABSENTEE,2,196,2,0,14,4,10,450
ELMOREABSENTEE 23,4,584,12,5,85,20,70,1441
GOODINGABSENTEE,3,291,11,1,56,5,23,670
JEFFERSON18 ABSENTEE,14,245,5,6,226,2,57,1356
JEROME11 ABSENTEE,7,363,2,4,89,10,33,1050
KOOTENAIABSENTEE 71,17,2063,36,6,136,63,182,5017
KOOTENAIABSENTEE 72,12,1487,34,7,102,43,159,3572
KOOTENAIABSENTEE 73,12,2973,24,5,157,86,263,4344
LATAHABSENTEE 36,17,3068,48,12,135,104,243,1430
MADISON#1 PLANO,2,9,1,0,47,2,7,213
MINIDOKA12 ABSENTEE,1,301,5,4,91,9,40,1019
NEZ PERCERIMROCK 23,0,11,0,0,1,0,8,65
OWYHEE009 GRAND VIEW,0,27,5,0,8,1,13,277
OWYHEE013 ABSENTEE,1,67,0,1,17,5,12,286
SHOSHONE14 ABSENTEE,3,238,7,1,8,6,26,447
TETON8 ABSENTEE,2,1320,13,2,153,32,77,960
TWIN FALLSABSENTEE 23,3,107,2,0,20,1,11,364
TWIN FALLSABSENTEE 24,20,1945,16,10,356,69,165,3769
TWIN FALLSABSENTEE 25,10,578,9,3,157,13,60,1839
