precinct,pri_dem_CLINTON,pri_dem_SANDERS,gen_con_CASTLE,gen_dem_CLINTON,gen_ind_FUENTE,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
CARSON CITY101,3,4,5,354,3,39,419,7,820
CARSON CITY103,4,3,6,392,1,25,476,7,900
CARSON CITY105,3,2,8,375,1,39,608,5,1031
CARSON CITY107,3,3,8,376,1,39,617,6,1041
CARSON CITY109,4,4,11,482,0,47,606,8,1146
CARSON CITY111,3,6,4,516,5,80,528,9,1133
CARSON CITY113,4,4,5,445,3,45,783,8,1281
CARSON CITY201,3,3,4,351,2,43,410,6,810
CARSON CITY203,4,5,10,490,3,71,516,9,1090
CARSON CITY205,4,5,4,524,3,64,608,9,1203
CARSON CITY207,3,5,7,372,4,28,561,8,972
CARSON CITY209,2,3,7,293,3,47,377,5,727
CARSON CITY211,2,2,3,258,1,45,464,4,771
CARSON CITY301,3,3,5,334,6,36,454,6,835
CARSON CITY303,3,3,2,298,1,42,477,6,820
CARSON CITY305,4,3,4,386,1,45,606,7,1042
CARSON CITY307,6,5,13,715,1,82,688,11,1499
CARSON CITY309,5,2,9,399,4,48,830,7,1290
CARSON CITY401,3,3,4,353,3,51,381,6,792
CARSON CITY403,5,5,11,523,4,74,672,10,1284
CARSON CITY405,4,4,5,431,1,38,556,8,1031
CARSON CITY407,3,2,6,274,3,39,574,5,896
CARSON CITY409,3,5,7,464,5,62,480,8,1018
CARSON CITY411,2,2,5,193,1,30,425,4,654
CHURCHILL10,3,3,4,138,1,32,594,6,769
CHURCHILL11,3,3,9,140,1,37,605,6,792
CHURCHILL12,0,2,4,52,1,13,216,2,286
CHURCHILL13,1,1,3,52,2,15,355,2,427
CHURCHILL14,1,2,7,88,1,18,414,3,528
CHURCHILL15,2,2,3,91,1,21,479,4,595
CHURCHILL16,2,4,6,128,1,16,242,6,393
CHURCHILL17,2,5,11,148,1,37,688,7,885
CHURCHILL18,5,3,1,208,2,31,736,8,978
CHURCHILL19,2,1,11,93,0,12,391,3,507
CLARK1038,2,1,0,151,0,2,199,3,352
CLARK1039,3,2,0,293,1,11,557,5,862
CLARK1063,5,5,3,467,1,39,470,10,980
CLARK1067,1,0,1,19,1,3,90,1,114
CLARK1072,1,1,1,60,0,14,142,2,217
CLARK1074,7,4,7,430,1,22,744,11,1204
CLARK1137,5,4,4,431,1,32,398,9,866
CLARK1302,7,6,2,690,4,45,446,13,1187
CLARK1303,5,6,3,527,1,30,395,11,956
CLARK1304,3,4,4,362,1,27,219,7,613
CLARK1307,6,6,6,679,3,37,554,12,1279
