precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
11BARRB(SOUTHCONG12),0,0,0,0,0
11NORTHERNCAMBRIA3B(CONG12),0,0,0,0,0
13MAHONINGPACKERJAMESTOWN,2,92,5,13,211
14FERGUSONNORTHEAST1A,7,1009,25,83,412
14FERGUSONNORTHEAST1B,0,0,0,0,0
15KENNETT2B(CONG16),0,0,0,0,0
15PHOENIXVILLEMIDDLE1(STH157),2,460,13,30,162
15WESTBRANDYWINEEAST1,6,641,9,36,763
15WESTBRANDYWINEEAST2,7,562,10,50,826
16PINEYA(CONG3),0,37,0,4,148
22SUSQUEHANNA1(CONG11TH),1,176,1,6,154
29VALLEYHI,0,4,0,0,6
2COLLIER5,3,207,0,13,483
2COLLIER6,3,348,5,27,348
2PITTSBURGH1010,3,354,6,15,111
2PITTSBURGH1110,0,392,5,5,61
2PITTSBURGH1210,0,281,1,1,4
2PITTSBURGH1310,0,137,0,2,3
2PITTSBURGH1410,2,443,3,13,55
2PITTSBURGH1420,0,394,5,6,56
2PITTSBURGH1430,2,418,4,5,96
2PITTSBURGH1440,0,268,5,12,45
2PITTSBURGH1510,1,321,6,11,122
2PITTSBURGH1610,0,145,4,4,86
2PITTSBURGH1810,0,31,1,1,21
2PITTSBURGH1910,0,249,10,11,139
2PITTSBURGH1920,2,209,7,9,140
2PITTSBURGH1930,1,234,4,11,139
2PITTSBURGH2010,1,281,4,7,69
2PITTSBURGH2610,1,361,10,4,62
2PITTSBURGH2710,1,298,0,6,85
2PITTSBURGH2810,0,211,4,13,87
2PITTSBURGH2910,3,202,1,14,139
2PITTSBURGH410,0,252,1,7,39
2PITTSBURGH510,0,281,1,5,6
2PITTSBURGH710,1,549,5,15,101
2PITTSBURGH810,0,383,8,9,63
2SOUTHPARK13,3,290,2,16,486
2WHITEHALL1B(CONG18),0,0,0,0,0
38NORTHLEBANONEASTA(CONG6),9,531,10,43,1062
3KISKIMINETASORCH.HILLSNORTH,2,88,0,5,227
3KISKIMINETASORCH.HILLSSOUTH,1,180,1,11,517
40WILKESBARRE1,1,572,17,23,848
40WILKESBARRE10,2,279,0,13,202
40WILKESBARRE11,1,448,12,14,323
40WILKESBARRE12,2,432,16,15,242
40WILKESBARRE13,2,457,14,29,297
40WILKESBARRE14,2,366,20,16,219
40WILKESBARRE15,1,413,6,14,319
40WILKESBARRE16,4,440,9,15,386
40WILKESBARRE17,3,292,9,11,168
40WILKESBARRE18,0,244,6,7,215
40WILKESBARRE19,6,340,8,11,265
40WILKESBARRE2,4,663,18,24,753
40WILKESBARRE20,1,361,14,10,421
40WILKESBARRE3,1,247,7,6,253
40WILKESBARRE4,0,415,5,12,290
40WILKESBARRE5,0,357,8,10,312
40WILKESBARRE6,1,397,16,16,282
40WILKESBARRE7,2,264,10,15,205
40WILKESBARRE8,1,371,7,14,239
40WILKESBARRE9,2,231,6,5,173
46LOWERMERION22B(CONG13),0,0,0,0,0
51PHILADELPHIA2624,0,0,0,0,0
51PHILADELPHIA4030B(SENATE8),0,0,0,0,0
58SUSQUEHANNADEPOT,2,186,7,10,279
59UNION,1,80,2,15,325
6ALSACE2,2,300,4,22,590
6MUHLENBERG10,7,430,12,11,441
6SPRING13,2,487,7,33,552
6WASHINGTON2,7,315,6,38,709
9BENSALEMUPPER10,4,627,8,32,576
9MIDDLETOWNLOWER10,3,462,12,24,477
