precinct,gen_amc_SKEWES,gen_ame_SKEWES,gen_amr_SKEWES,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_rep_TRUMP
ANDERSONFAILSAFE / PROVISIONAL 1,0,0,0,1,53,2,1,3,101
ANDERSONFAILSAFE 1,0,0,0,0,24,1,0,0,21
ANDERSONFAILSAFE 2,0,0,0,0,27,1,0,1,46
ANDERSONFAILSAFE 3,0,0,0,0,17,0,0,2,22
ANDERSONFAILSAFE 4,0,0,1,0,34,0,1,1,14
ANDERSONPROVISIONAL 1,0,0,0,0,1,0,0,0,10
ANDERSONPROVISIONAL 2,0,0,0,0,2,0,0,0,3
ANDERSONPROVISIONAL 3,0,0,0,0,0,0,0,0,4
ANDERSONPROVISIONAL 4,0,0,0,0,1,0,0,0,5
BEAUFORTMOSSY OAKS 2,1,0,0,1,203,7,5,28,314
BERKELEYEMERGENCY 2,0,0,0,0,42,1,2,0,87
BERKELEYFAILSAFE 2,0,0,0,0,3,0,0,2,2
BERKELEYPROVISIONAL 2,0,0,0,0,15,0,0,1,14
DORCHESTEREMERGENCY 2,0,0,0,0,4,0,0,0,8
DORCHESTERPROVISIONAL 2,0,0,0,0,11,0,0,0,10
FLORENCEFAILSAFE 2,0,0,0,1,26,0,0,1,11
FLORENCEFAILSAFE 3,0,0,0,0,12,0,0,0,5
FLORENCEFAILSAFE 4,0,0,0,0,22,0,0,0,3
FLORENCEPROVISIONAL 2,0,0,0,0,12,0,0,1,5
FLORENCEPROVISIONAL 3,0,0,0,0,7,0,0,0,8
FLORENCEPROVISIONAL 4,0,0,0,0,2,0,0,0,1
GREENVILLEFAILSAFE 1,0,0,0,0,162,2,4,16,79
GREENVILLEFAILSAFE 2,0,0,0,0,66,0,5,5,41
GREENVILLEFAILSAFE PR,0,1,0,3,386,9,13,41,542
GREENVILLEPROVISIONAL 1,0,0,0,0,45,0,1,9,70
GREENVILLEPROVISIONAL 2,0,0,0,0,25,1,3,1,49
HORRYBROOKSVILLE #1,0,0,3,2,437,8,13,25,1028
HORRYBROOKSVILLE #2,0,0,1,0,184,2,3,9,355
HORRYCAROLINA BAYS,0,0,0,0,272,6,8,19,728
HORRYEMERGENCY 2,0,0,0,0,6,0,0,0,18
HORRYFAILSAFE 2,0,0,0,0,13,0,0,1,6
KERSHAWEMERGENCY 1,0,0,0,0,13,0,0,0,27
KERSHAWEMERGENCY 2,0,0,0,0,1,0,0,0,2
KERSHAWFAILSAFE 1,0,0,0,0,48,2,2,1,69
KERSHAWFAILSAFE 2,0,0,0,0,6,0,0,1,14
LANCASTERPOSSUM HOLLOW,0,0,0,6,462,3,21,42,828
LANCASTERSHELLEY MULLIS,0,0,0,3,383,7,21,49,637
LANCASTERUNIVERSITY,0,0,0,3,239,4,7,34,447
LAURENSEMERGENCY 2,0,0,0,0,7,1,0,0,5
LAURENSFAILSAFE 2,0,0,0,0,16,0,0,1,17
LEEEMERGENCY,0,0,0,0,18,0,0,2,10
LEEFAILSAFE,0,0,0,0,1,0,0,0,0
LEEFAILSAFE PROVISIONAL,0,0,0,0,7,0,1,0,1
LEXINGTONCAYCE WARD NO.1,0,0,3,3,356,14,10,49,307
LEXINGTONCAYCE WARD NO.2,0,0,2,4,511,10,12,27,327
LEXINGTONCAYCE WARD NO.3,0,0,0,0,160,6,10,19,244
LEXINGTONFAILSAFE PROVISIONAL,0,0,0,0,43,1,2,4,78
LEXINGTONREDBANK SOUTH #2,0,0,1,5,224,13,11,29,587
PICKENSFAILSAFE 2,0,0,0,0,0,0,0,0,2
RICHLANDFAILSAFE 2,0,0,0,0,124,2,1,0,14
RICHLANDPROVISIONAL 2,0,0,0,0,23,0,2,0,18
SPARTANBURGEMERGENCY 2,0,0,0,0,20,0,0,0,19
SPARTANBURGEMERGENCY 3,0,0,0,0,2,0,0,0,1
SPARTANBURGEMERGENCY 4,0,0,0,0,0,0,0,0,1
SPARTANBURGFAILSAFE 2,0,0,0,0,39,0,0,0,19
SPARTANBURGFAILSAFE 3,0,0,0,1,59,0,1,0,10
SPARTANBURGFAILSAFE 4,0,0,0,0,2,0,1,0,2
SPARTANBURGRIVER RIDGE ELEMENTARY,0,0,1,4,372,13,13,32,726
SUMTEREMERGENCY 1,0,0,0,0,34,0,0,2,19
SUMTERFAILSAFE 1,0,0,0,0,52,0,0,0,30
SUMTERFAILSAFE 2,0,0,0,0,4,0,0,0,4
UNIONFAILSAFE 1,0,0,0,1,53,1,0,0,57
UNIONFAILSAFE 2,0,0,1,0,36,0,0,0,16
UNIONPROVISIONAL 1,0,0,0,0,1,0,0,0,0
UNIONPROVISIONAL 2,0,0,0,0,1,0,0,0,3
YORKFAILSAFE 1,0,0,0,1,39,1,0,6,74
YORKFAILSAFE 2,0,0,0,0,14,0,2,1,17
YORKFAILSAFE 3,0,0,0,0,19,0,0,0,14
YORKFAILSAFE 4,0,0,0,0,1,0,0,0,4
YORKFAILSAFE PROV 1,1,0,0,2,235,7,6,24,310
YORKPROVISIONAL 1,0,0,0,0,26,0,0,3,57
YORKPROVISIONAL 2,0,0,0,0,38,0,0,4,38
YORKPROVISIONAL 3,0,0,0,0,23,1,0,1,32
YORKPROVISIONAL 4,0,0,0,0,1,1,0,0,19
