precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
AURORA1,30,12,18,8,42,4,62,11,230,42,307
AURORA2,8,6,12,5,12,3,23,7,120,14,153
AURORA3,71,57,13,5,42,6,101,19,290,128,416
AURORA5,12,11,2,5,11,1,61,11,128,23,201
AURORA7,29,46,5,4,29,5,93,26,206,75,330
BRULE1,103,118,34,44,152,12,363,76,765,221,1216
BRULE2,46,49,8,5,23,5,98,26,388,95,517
BRULE3,26,35,15,6,38,4,81,20,266,61,371
BRULE4,3,3,2,1,6,4,11,2,59,6,76
BRULE5,4,14,2,2,26,2,18,1,87,18,108
CLARK1,9,14,7,5,20,1,42,8,107,23,158
CLARK10,9,3,1,4,7,0,26,11,67,12,104
CLARK11,9,14,9,1,14,2,39,19,101,23,161
CLARK12,15,7,3,5,20,2,46,6,107,22,161
CLARK13,12,9,5,11,28,6,64,11,144,21,225
CLARK2,12,4,1,0,11,0,37,6,95,16,138
CLARK3,12,3,4,7,14,1,25,4,76,15,106
CLARK4,10,2,2,6,14,0,26,7,81,12,114
CLARK5,5,3,2,4,9,0,18,6,82,8,106
CLARK6,2,3,3,3,7,1,16,4,42,5,63
CLARK7,9,7,3,0,16,1,24,8,85,16,118
CLARK8,6,10,5,7,16,2,29,10,97,16,138
CLARK9,2,7,5,0,3,1,6,3,55,9,65
CLAY1901 RURAL WARD 1,26,9,3,5,33,6,121,12,271,35,410
CLAY1902 RURAL WARD 2,28,22,8,7,24,6,143,22,204,50,375
CLAY1903 RURAL WARD 3,83,65,9,18,62,6,412,53,472,148,943
