precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP
BEADLE12,14.0,181.0,38.0,616.0
BEADLE15,0.0,28.0,3.0,223.0
BEADLE17,1.0,60.0,22.0,202.0
BEADLETOTAL,82.0,1912.0,323.0,4455.0
BEADLEW1,16.0,330.0,63.0,817.0
BEADLEW2,12.0,230.0,43.0,365.0
BEADLEW3,9.0,212.0,29.0,377.0
BEADLEW7-1,5.0,223.0,33.0,534.0
BEADLEW7-2,7.0,212.0,35.0,505.0
BEADLEW8-1,7.0,233.0,27.0,354.0
BEADLEW8-2,11.0,203.0,30.0,462.0
BENNETTALLEN,2.0,183.0,11.0,70.0
BENNETTMARTIN CITY,8.0,121.0,21.0,211.0
BENNETTMARTIN RURAL 26/27,4.0,101.0,13.0,235.0
BENNETTTOTAL,14.0,412.0,57.0,666.0
BENNETTVETAL/TUTHILL,0.0,7.0,12.0,150.0
BON HOMME1,6.0,105.0,29.0,439.0
BON HOMME2,11.0,108.0,16.0,371.0
BON HOMME3,8.0,208.0,30.0,471.0
BON HOMME4,6.0,156.0,32.0,337.0
BON HOMME5,5.0,127.0,22.0,487.0
BON HOMMETOTAL,36.0,704.0,129.0,2105.0
BROOKINGS1-1 BROOKINGS ACTIVITY CENTER,27.0,724.0,161.0,646.0
BROOKINGS1-10 VOLGA COMMUNITY CENTER,9.0,230.0,66.0,565.0
BROOKINGS1-11 HOLY LIFE TABERNACLE,13.0,319.0,69.0,490.0
BROOKINGS1-2 BETHEL BAPTIST CHURCH,31.0,753.0,143.0,1068.0
BROOKINGS1-3 SWIFTEL CENTER,5.0,240.0,72.0,378.0
BROOKINGS1-4 AURORA LITTLE HALL,9.0,144.0,37.0,324.0
BROOKINGS1-5 ELKTON COMMUNITY CENTER,6.0,74.0,17.0,267.0
BROOKINGS1-6 MCKNIGHT HALL,3.0,111.0,26.0,361.0
BROOKINGS1-7 BRUCE CITY HALL,6.0,76.0,21.0,243.0
BROOKINGS1-8 TRINITY LUTHERAN CHURCH,1.0,48.0,4.0,83.0
BROOKINGS1-9 SINAI AMERICAN LEGION,3.0,38.0,10.0,140.0
BROOKINGSABSENTEE PRECINCT,59.0,2122.0,255.0,2183.0
BROOKINGSTOTAL,172.0,4879.0,881.0,6748.0
BROWNABSENTEE PRECINCT,59.0,2337.0,274.0,3338.0
BROWNAMERICINN EVENT CENTER,14.0,753.0,183.0,1554.0
BROWNBEST WESTERN RAMKOTA HOTEL AND CONVENTION CENTER,19.0,766.0,157.0,1707.0
BROWNCLAREMONT FIRE STATION,2.0,61.0,3.0,92.0
BROWNCOLUMBIA AMERICAN LEGION,2.0,72.0,8.0,181.0
BROWNCOURTHOUSE COUMMUNITY ROOM,23.0,795.0,191.0,1348.0
BROWNFREDERICK COMMUNITY CENTER,0.0,78.0,11.0,169.0
BROWNGROTON COMMUNITY CENTER,5.0,230.0,40.0,528.0
BROWNHEDA COMMUNITY CENTER,1.0,77.0,7.0,142.0
BROWNSTRATFORD COMMUNITY CENTER,3.0,58.0,17.0,98.0
BROWNTOTAL,134.0,5452.0,915.0,9613.0
BROWNWARNER COMMUNITY CENTER,5.0,166.0,18.0,298.0
BROWNWESTPORT COMMUNITY CENTER,1.0,59.0,6.0,158.0
BUFFALO1,0.0,21.0,3.0,92.0
BUFFALO2,1.0,38.0,0.0,42.0
BUFFALO3,4.0,237.0,15.0,37.0
BUFFALOTOTAL,5.0,296.0,18.0,171.0
BUTTE11,0.0,8.0,0.0,63.0
BUTTE12,1.0,15.0,3.0,79.0
BUTTE16,7.0,84.0,36.0,570.0
BUTTE17,2.0,51.0,19.0,301.0
BUTTE18,1.0,23.0,9.0,87.0
BUTTE20,2.0,48.0,12.0,181.0
BUTTE21,6.0,37.0,16.0,177.0
BUTTE22,1.0,42.0,9.0,132.0
BUTTE23,3.0,40.0,16.0,174.0
BUTTE24,7.0,74.0,19.0,251.0
BUTTE25,5.0,63.0,17.0,230.0
BUTTE26,6.0,35.0,27.0,184.0
BUTTE27,2.0,42.0,19.0,185.0
BUTTE28,6.0,83.0,23.0,253.0
BUTTE6,0.0,1.0,0.0,48.0
BUTTE8 (13-14),3.0,50.0,21.0,442.0
BUTTENAN,52.0,696.0,246.0,3357.0
CAMPBELL1,0.0,29.0,6.0,115.0
CAMPBELL2,0.0,19.0,8.0,136.0
CAMPBELL3,1.0,20.0,2.0,152.0
CAMPBELL4,0.0,23.0,2.0,145.0
CAMPBELL5,1.0,14.0,2.0,156.0
CAMPBELLTOTAL,2.0,105.0,20.0,704.0
CHARLES MIX1,4.0,117.0,12.0,267.0
CHARLES MIX10,1.0,12.0,3.0,91.0
CHARLES MIX11,3.0,103.0,14.0,567.0
CHARLES MIX12,0.0,24.0,7.0,73.0
CHARLES MIX13,0.0,24.0,1.0,44.0
CHARLES MIX2,3.0,50.0,6.0,125.0
CHARLES MIX3,5.0,193.0,24.0,282.0
CHARLES MIX4,1.0,94.0,5.0,73.0
